Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.219,38.844,21.938,1.317,0.565,0.009,0.336,0.593,32.73,32.38,4954000000.0,160385750000.0,18868000000.0,2937722000.0,0.156,78,Consumer Defensive,Beverages—Non-Alcoholic
1998-12-31,0.188,45.606,19.175,1.278,0.42,0.009,0.419,0.521,32.99,32.66,4934000000.0,161125937500.0,18813000000.0,2570614000.0,0.137,79,Consumer Defensive,Beverages—Non-Alcoholic
1999-12-31,0.123,57.828,14.778,1.273,0.256,0.011,0.65,0.57,28.79,28.47,4938000000.0,140578687500.0,19805000000.0,2814660000.0,0.142,80,Consumer Defensive,Beverages—Non-Alcoholic
2000-12-31,0.106,65.89,15.397,1.236,0.234,0.012,0.774,0.576,29.32,28.95,4954000000.0,143443069504.6,20458000000.0,2853504000.0,0.139,81,Consumer Defensive,Beverages—Non-Alcoholic
2001-12-31,0.198,27.477,9.595,0.972,0.349,0.016,0.451,0.672,22.3,21.92,4974000000.0,109054946020.8,20092000000.0,3342528000.0,0.166,82,Consumer Defensive,Beverages—Non-Alcoholic
2002-12-31,0.156,31.848,8.232,1.076,0.258,0.02,0.651,0.785,20.03,19.6,4956000000.0,97137601982.4,19564000000.0,3890460000.0,0.199,83,Consumer Defensive,Beverages—Non-Alcoholic
2003-12-31,0.207,27.854,8.593,0.941,0.309,0.018,0.498,0.944,25.3,24.62,4918000000.0,121081163934.4,21044000000.0,4642592000.0,0.221,84,Consumer Defensive,Beverages—Non-Alcoholic
2004-12-31,0.221,20.766,6.317,0.966,0.304,0.024,0.501,1.074,22.13,20.75,4852000000.0,100654743881.6,21962000000.0,5211048000.0,0.237,85,Consumer Defensive,Beverages—Non-Alcoholic
2005-12-31,0.211,20.498,6.106,0.799,0.298,0.027,0.55,1.155,21.86,20.88,4784000000.0,99866000000.0,23104000000.0,5525520000.0,0.239,86,Consumer Defensive,Beverages—Non-Alcoholic
2006-12-31,0.211,22.098,6.635,0.771,0.3,0.026,0.573,0.969,24.42,23.91,4696000000.0,112257883287.2,24088000000.0,4550424000.0,0.189,87,Consumer Defensive,Beverages—Non-Alcoholic
2007-12-31,0.207,22.341,6.145,0.99,0.275,0.024,0.527,1.189,29.77,28.89,4626000000.0,133622010925.2,28857000000.0,5500314000.0,0.191,88,Consumer Defensive,Beverages—Non-Alcoholic
2008-12-31,0.182,17.038,4.833,0.979,0.284,0.036,0.606,1.21,22.37,21.36,4632000000.0,98939522779.2,31944000000.0,5604720000.0,0.175,89,Consumer Defensive,Beverages—Non-Alcoholic
2009-12-31,0.22,18.396,5.062,0.941,0.275,0.03,0.557,1.338,28.64,27.13,4628000000.0,125534500000.0,30990000000.0,6192264000.0,0.2,90,Consumer Defensive,Beverages—Non-Alcoholic
2010-12-31,0.336,12.159,4.631,1.342,0.381,0.028,0.344,1.585,32.95,31.1,4616000000.0,143580677692.0,35119000000.0,7316360000.0,0.208,91,Consumer Defensive,Beverages—Non-Alcoholic
2011-12-31,0.184,17.809,4.826,1.519,0.271,0.028,0.502,1.448,36.56,33.73,4526000000.0,152661977737.0,46542000000.0,6553648000.0,0.141,92,Consumer Defensive,Beverages—Non-Alcoholic
2012-12-31,0.188,18.727,5.151,1.617,0.275,0.027,0.509,1.746,39.37,37.5,4504000000.0,168900000000.0,48017000000.0,7863984000.0,0.164,93,Consumer Defensive,Beverages—Non-Alcoholic
2013-12-31,0.183,19.716,5.102,1.707,0.259,0.029,0.579,1.802,40.52,38.17,4434000000.0,169245772018.8,46854000000.0,7990068000.0,0.171,94,Consumer Defensive,Beverages—Non-Alcoholic
2014-12-31,0.154,25.446,5.957,2.027,0.234,0.03,0.754,1.871,43.21,41.17,4387000000.0,180612782103.4,45998000000.0,8208077000.0,0.178,95,Consumer Defensive,Beverages—Non-Alcoholic
2015-12-31,0.166,25.41,7.31,2.517,0.288,0.031,0.781,1.832,44.6,42.92,4352000000.0,186787832166.4,44294000000.0,7972864000.0,0.18,96,Consumer Defensive,Beverages—Non-Alcoholic
2016-12-31,0.156,27.369,7.746,2.777,0.283,0.034,0.926,1.514,43.36,41.38,4317000000.0,178637464748.7,41863000000.0,6535938000.0,0.156,97,Consumer Defensive,Beverages—Non-Alcoholic
2017-12-31,0.035,162.288,11.864,4.037,0.073,0.031,5.064,1.271,48.82,47.41,4272000000.0,202535519145.6,35410000000.0,5429712000.0,0.153,98,Consumer Defensive,Beverages—Non-Alcoholic
2018-12-31,0.202,31.681,12.004,3.778,0.379,0.033,1.033,1.475,49.96,47.86,4259000000.0,203835742555.4,31856000000.0,6282025000.0,0.197,99,Consumer Defensive,Beverages—Non-Alcoholic
2019-12-31,0.239,28.216,13.26,3.439,0.47,0.027,0.767,1.968,60.38,58.86,4276000000.0,251685362565.6,37266000000.0,8415168000.0,0.226,100,Consumer Defensive,Beverages—Non-Alcoholic
2020-12-31,0.235,26.695,10.716,3.42,0.401,0.034,0.91,2.018,49.73,48.15,4295000000.0,206804256442.5,33014000000.0,8667310000.0,0.263,101,Consumer Defensive,Beverages—Non-Alcoholic
2021-12-31,0.253,26.743,11.362,3.022,0.425,0.028,0.742,2.621,63.09,60.84,4295000000.0,261307800859.0,38655000000.0,11257195000.0,0.291,102,Consumer Defensive,Beverages—Non-Alcoholic
