Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Defensive,Confectioners
1998-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24140000000.0,0.0,0.0,0,Consumer Defensive,Confectioners
1999-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23430000000.0,0.0,0.0,0,Consumer Defensive,Confectioners
2000-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26532000000.0,0.0,0.0,0,Consumer Defensive,Confectioners
2001-12-31,0.056,30.342,2.432,1.377,0.08,0.004,0.12,1.384,35.6,35.5,1608547009.0,57103418819.5,33875000000.0,2226229060.456,0.066,0,Consumer Defensive,Confectioners
2002-12-31,0.114,15.296,2.01,1.21,0.131,0.018,0.276,1.465,30.1,29.98,1731632653.0,51914346071.124,29723000000.0,2536841836.645,0.085,1,Consumer Defensive,Confectioners
2003-12-31,0.112,16.025,1.952,1.078,0.122,0.02,0.313,1.754,32.51,32.21,1729353234.0,55702466110.722,31010000000.0,3033285572.436,0.098,2,Consumer Defensive,Confectioners
2004-12-31,0.083,21.321,1.9,1.004,0.089,0.023,0.48,1.757,33.43,33.26,1708333333.0,56819163751.413,32168000000.0,3001541666.081,0.093,3,Consumer Defensive,Confectioners
2005-12-31,0.077,19.231,1.71,0.947,0.089,0.028,0.546,1.359,30.19,30.0,1687179487.0,50615384610.0,34113000000.0,2292876922.833,0.067,4,Consumer Defensive,Confectioners
2006-12-31,0.089,18.726,2.007,0.946,0.107,0.027,0.51,1.551,34.98,34.83,1645161290.0,57300970691.99,34356000000.0,2551645160.79,0.074,5,Consumer Defensive,Confectioners
2007-12-31,0.07,17.957,1.704,1.491,0.095,0.035,0.632,1.475,29.81,29.45,1579268293.0,46509452492.265,37241000000.0,2329420732.175,0.063,6,Consumer Defensive,Confectioners
2008-12-31,0.069,14.417,1.884,1.841,0.131,0.04,0.573,1.86,28.88,28.05,1491000000.0,41822548807.2,42201000000.0,2773260000.0,0.066,7,Consumer Defensive,Confectioners
2009-12-31,0.075,13.532,1.58,1.575,0.117,0.042,0.567,2.54,29.08,27.66,1478000000.0,40881479704.4,40386000000.0,3754120000.0,0.093,8,Consumer Defensive,Confectioners
2010-12-31,0.084,12.727,1.461,1.656,0.115,0.042,0.529,1.217,31.98,30.53,1715000000.0,52358951200.5,49207000000.0,2087155000.0,0.042,9,Consumer Defensive,Confectioners
2011-12-31,0.065,19.106,1.913,1.661,0.1,0.03,0.579,1.558,39.3,38.18,1765000000.0,67387700529.5,54365000000.0,2749870000.0,0.051,10,Consumer Defensive,Confectioners
2012-12-31,0.086,16.274,1.53,1.339,0.094,0.042,0.68,1.302,30.25,27.73,1777000000.0,49276209111.5,35015000000.0,2313654000.0,0.066,11,Consumer Defensive,Confectioners
2013-12-31,0.111,14.922,1.805,1.236,0.121,0.016,0.241,2.699,34.43,32.93,1774000000.0,58417820532.2,35299000000.0,4788026000.0,0.136,12,Consumer Defensive,Confectioners
2014-12-31,0.064,27.285,2.147,1.404,0.079,0.016,0.441,1.135,36.2,35.24,1691000000.0,59590842874.7,34244000000.0,1919285000.0,0.056,13,Consumer Defensive,Confectioners
2015-12-31,0.245,9.596,2.489,1.24,0.259,0.014,0.139,1.368,44.26,43.1,1618000000.0,69735797573.0,29636000000.0,2213424000.0,0.075,14,Consumer Defensive,Confectioners
2016-12-31,0.064,41.672,2.748,1.444,0.066,0.016,0.659,1.037,45.55,44.43,1556000000.0,69133080466.8,25923000000.0,1613572000.0,0.062,15,Consumer Defensive,Confectioners
2017-12-31,0.113,22.959,2.569,1.414,0.112,0.018,0.41,1.044,44.84,44.34,1513000000.0,67086420302.6,25896000000.0,1579572000.0,0.061,16,Consumer Defensive,Confectioners
2018-12-31,0.13,19.074,2.515,1.444,0.132,0.021,0.402,1.938,44.56,43.81,1472000000.0,64488322060.8,25938000000.0,2852736000.0,0.11,17,Consumer Defensive,Confectioners
2019-12-31,0.15,21.955,3.115,1.364,0.142,0.018,0.398,2.104,59.69,58.8,1445000000.0,84965998844.0,25868000000.0,3040280000.0,0.118,18,Consumer Defensive,Confectioners
2020-12-31,0.134,22.316,2.877,1.456,0.129,0.021,0.472,2.167,57.97,55.44,1431000000.0,79334637996.6,26581000000.0,3100977000.0,0.117,19,Consumer Defensive,Confectioners
2021-12-31,0.15,22.104,3.362,1.371,0.152,0.019,0.425,2.219,68.9,66.42,1431000000.0,95047017424.2,28720000000.0,3175389000.0,0.111,20,Consumer Defensive,Confectioners
