Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-31,0.112,15.9,6.725,2.75,0.423,0.039,0.616,2.675,42.44,41.5,2417624521.0,100331417621.5,56114000000.0,6467145593.675,0.115,74,Consumer Defensive
1998-12-31,0.093,21.21,7.035,2.699,0.332,0.035,0.742,2.591,48.55,46.88,2430769231.0,113942307703.125,57812000000.0,6298123077.521,0.109,75,Consumer Defensive
1999-12-31,0.124,6.464,3.242,3.011,0.501,0.087,0.565,4.026,22.88,20.75,2390965732.0,49612538939.0,61751000000.0,9626028037.032,0.156,76,Consumer Defensive
2000-12-31,0.134,11.912,6.756,4.269,0.567,0.044,0.529,4.147,45.33,44.91,2257294430.0,101375092399.841,63276000000.0,9361000001.21,0.148,77,Consumer Defensive
2001-12-31,0.117,12.645,5.517,3.126,0.436,0.044,0.557,3.192,49.78,49.57,2183673469.0,108244693203.228,72944000000.0,6970285713.048,0.096,78,Consumer Defensive
2002-12-31,0.179,7.006,3.993,3.27,0.57,0.065,0.456,4.076,37.12,36.85,2110646388.0,77777316231.83,62182000000.0,8602994677.488,0.138,79,Consumer Defensive
2003-12-31,0.152,12.244,4.494,2.645,0.367,0.047,0.574,4.361,57.45,55.59,2027312775.0,112698317567.713,60704000000.0,8841111011.775,0.146,80,Consumer Defensive
2004-12-31,0.147,13.739,4.212,2.154,0.307,0.044,0.602,4.386,66.01,63.2,2046956522.0,129367653827.965,63963000000.0,8977951305.492,0.14,81,Consumer Defensive
2005-12-31,0.151,14.665,4.286,1.907,0.292,0.04,0.593,4.276,76.93,73.91,2070436508.0,153025969966.895,68920000000.0,8853186508.208,0.128,82,Consumer Defensive
2006-12-31,0.171,15.198,4.612,1.543,0.303,0.037,0.567,5.334,89.95,87.54,2087152778.0,182709356064.557,70324000000.0,11132872917.852,0.158,83,Consumer Defensive
2007-12-31,0.257,16.416,8.659,2.083,0.527,0.041,0.68,4.212,79.59,76.5,2100000000.0,160650000000.0,38051000000.0,8845200000.0,0.232,84,Consumer Defensive
2008-12-31,0.309,6.95,12.115,8.623,1.743,0.041,0.286,2.24,20.36,16.54,2071428571.0,34261430428.626,15957000000.0,4639999999.04,0.291,85,Consumer Defensive
2009-12-31,0.191,12.798,10.084,8.013,0.788,0.066,0.84,1.534,20.77,19.86,2066000000.0,41030761239.6,16824000000.0,3169244000.0,0.188,86,Consumer Defensive
2010-12-31,0.231,12.653,9.517,6.197,0.752,0.06,0.757,1.251,24.9,23.79,2077000000.0,49411831869.3,16892000000.0,2598327000.0,0.154,87,Consumer Defensive
2011-12-31,0.204,17.285,15.923,9.035,0.921,0.055,0.95,1.7,29.97,28.39,2064000000.0,58596958761.6,16619000000.0,3508800000.0,0.211,88,Consumer Defensive
2012-12-31,0.239,16.318,21.531,10.151,1.319,0.05,0.813,1.867,35.13,33.7,2024000000.0,68208801619.2,17500000000.0,3778808000.0,0.216,89,Consumer Defensive
2013-12-31,0.257,15.582,17.156,7.463,1.101,0.051,0.796,2.123,36.94,35.35,1999000000.0,70664647001.5,17663000000.0,4243877000.0,0.24,90,Consumer Defensive
2014-12-31,0.283,20.716,34.848,10.44,1.682,0.037,0.768,2.275,54.78,53.1,1978000000.0,105031797033.0,17945000000.0,4499950000.0,0.251,91,Consumer Defensive
2015-12-31,0.278,22.865,41.61,10.299,1.82,0.035,0.797,2.846,62.32,61.11,1961000000.0,119836711176.6,18854000000.0,5581006000.0,0.296,92,Consumer Defensive
2016-12-31,0.736,9.774,10.899,2.597,1.115,0.032,0.317,1.845,73.64,71.3,1952000000.0,139177606051.2,19337000000.0,3601440000.0,0.186,93,Consumer Defensive
2017-12-31,0.524,13.121,8.722,1.809,0.665,0.036,0.47,2.459,70.47,69.82,1921000000.0,134124219423.7,19494000000.0,4723739000.0,0.242,94,Consumer Defensive
2018-12-31,0.355,12.954,6.1,2.762,0.471,0.06,0.778,4.321,48.51,47.8,1887000000.0,90198598490.4,19627000000.0,8153727000.0,0.415,95,Consumer Defensive
2019-12-31,-0.065,-69.383,14.419,6.903,-0.208,0.068,-4.694,4.062,49.13,48.0,1869000000.0,89712000000.0,19796000000.0,7591878000.0,0.384,96,Consumer Defensive
2020-12-31,0.214,17.087,26.885,15.671,1.573,0.082,1.408,4.389,43.74,41.08,1858000000.0,76326643344.4,20841000000.0,8154762000.0,0.391,97,Consumer Defensive
2021-12-31,0.117,37.185,-57.306,-25.61,-1.541,0.07,2.604,4.517,52.93,50.48,1858000000.0,93791839071.0,21111000000.0,8392586000.0,0.398,98,Consumer Defensive
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.67,52.25,0.0,0.0,0.0,0.0,0.0,99,Consumer Defensive
