Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.195,12.449,4.554,0.952,0.366,0.036,0.442,2.021,24.31,23.84,2409000000.0,57439279337.197,23636900000.0,4868589000.0,0.206,51,Healthcare,Drug Manufacturers—General
1998-12-31,0.195,13.725,5.627,1.199,0.41,0.031,0.429,1.41,31.38,30.28,2378800000.0,72029453460.047,26898200000.0,3354108000.0,0.125,52,Healthcare,Drug Manufacturers—General
1999-12-31,0.18,12.761,5.677,1.43,0.445,0.034,0.44,1.52,32.86,32.0,2349000000.0,75168262690.079,32714000000.0,3570480000.0,0.109,53,Healthcare,Drug Manufacturers—General
2000-12-31,0.169,11.676,5.37,1.352,0.46,0.035,0.41,2.15,35.63,34.53,2306900000.0,79650372244.04,40363200000.0,4959835000.0,0.123,54,Healthcare,Drug Manufacturers—General
2001-12-31,0.153,8.039,3.647,1.44,0.454,0.054,0.432,2.777,26.52,25.58,2288300000.0,58538845869.353,47715700000.0,6354609100.0,0.133,55,Healthcare,Drug Manufacturers—General
2002-12-31,0.138,7.675,3.015,1.342,0.393,0.058,0.446,3.171,25.3,24.31,2257500000.0,54872954352.253,51790300000.0,7158532500.0,0.138,56,Healthcare,Drug Manufacturers—General
2003-12-31,0.304,7.55,3.311,1.354,0.439,0.063,0.476,3.553,23.59,23.06,2236700000.0,51570249836.161,22485900000.0,7946995100.0,0.353,57,Healthcare,Drug Manufacturers—General
2004-12-31,0.253,5.379,1.809,1.323,0.336,0.106,0.569,3.187,15.39,14.09,2219000000.0,31272087339.874,22938600000.0,7071953000.0,0.308,58,Healthcare,Drug Manufacturers—General
2005-12-31,0.21,8.643,2.234,1.369,0.258,0.084,0.723,2.825,22.58,18.22,2197000000.0,40026652292.141,22011900000.0,6206525000.0,0.282,59,Healthcare,Drug Manufacturers—General
2006-12-31,0.196,12.137,3.065,1.401,0.252,0.062,0.749,2.657,27.43,24.71,2177600000.0,53813627432.522,22636000000.0,5785883200.0,0.256,60,Healthcare,Drug Manufacturers—General
2007-12-31,0.135,17.546,3.16,1.527,0.18,0.058,1.01,2.759,28.94,26.48,2170500000.0,57469547699.803,24197700000.0,5988409500.0,0.247,61,Healthcare,Drug Manufacturers—General
2008-12-31,0.327,4.627,1.926,1.388,0.416,0.091,0.42,2.469,18.96,16.92,2135800000.0,36128421386.844,23850300000.0,5273290200.0,0.221,62,Healthcare,Drug Manufacturers—General
2009-12-31,0.47,3.898,0.852,0.857,0.218,0.069,0.27,0.916,28.27,23.85,2108500000.0,50289176240.067,27428300000.0,1931386000.0,0.07,63,Healthcare,Drug Manufacturers—General
2010-12-31,0.019,77.446,1.226,0.901,0.016,0.073,5.636,2.954,25.07,21.54,3095000000.0,66680763349.111,45987000000.0,9142630000.0,0.199,64,Healthcare,Drug Manufacturers—General
2011-12-31,0.131,12.863,1.48,0.884,0.115,0.06,0.767,3.506,30.98,26.53,3040838643.0,80676494651.297,48047000000.0,10661180282.358,0.222,65,Healthcare,Drug Manufacturers—General
2012-12-31,0.13,15.17,1.765,0.956,0.116,0.056,0.849,2.666,35.36,30.91,3026635301.0,93566848331.146,47267000000.0,8069009712.466,0.171,66,Healthcare,Drug Manufacturers—General
2013-12-31,0.1,26.22,2.32,1.071,0.088,0.046,1.198,3.452,44.78,39.44,2927526714.0,115472843248.975,44033000000.0,10105822216.728,0.23,67,Healthcare,Drug Manufacturers—General
2014-12-31,0.282,10.904,2.672,1.018,0.245,0.04,0.44,1.953,48.42,45.8,2838140196.0,129980198388.094,42237000000.0,5542887802.788,0.131,68,Healthcare,Drug Manufacturers—General
2015-12-31,0.112,24.911,2.477,1.276,0.099,0.046,1.152,4.005,42.85,39.79,2781128073.0,110652698920.561,39498000000.0,11138417932.365,0.282,69,Healthcare,Drug Manufacturers—General
2016-12-31,0.098,34.915,3.414,1.374,0.098,0.037,1.307,3.188,52.16,49.79,2748731322.0,136867052302.687,39807000000.0,8762955454.536,0.22,70,Healthcare,Drug Manufacturers—General
2017-12-31,0.06,57.079,3.98,1.552,0.07,0.038,2.158,1.691,52.93,50.67,2696611608.0,136647597976.621,40122000000.0,4559970229.128,0.114,71,Healthcare,Drug Manufacturers—General
2018-12-31,0.147,26.342,6.136,2.088,0.233,0.032,0.832,3.204,66.27,63.2,2592559543.0,163848107264.857,42294000000.0,8306560775.772,0.196,72,Healthcare,Drug Manufacturers—General
2019-12-31,0.21,19.742,7.501,2.254,0.38,0.029,0.579,3.926,80.34,76.53,2539016026.0,194318900603.8,46840000000.0,9968176918.076,0.213,73,Healthcare,Drug Manufacturers—General
2020-12-31,0.147,25.187,7.031,2.614,0.279,0.035,0.879,2.201,73.53,70.35,2530225827.0,177996468021.159,47994000000.0,5569027045.227,0.116,74,Healthcare,Drug Manufacturers—General
2021-12-31,0.268,15.547,5.313,1.766,0.342,0.033,0.507,3.819,83.39,80.19,2530000000.0,202877240473.952,48704000000.0,9662070000.0,0.198,75,Healthcare,Drug Manufacturers—General
