Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-06-30,0.304,53.606,17.181,12.706,0.335,0.32,0.24,0.0,0.004,0.399,0.369,1.298,0.0,17.99,17.64,17.641,10496000000.0,185156000000.0,11358000000.0,0.31,0.574,0.299,0.0,0.0,0.0,0.0,4187904000.0,11,Technology
1998-06-30,0.31,61.443,16.592,13.498,0.345,0.27,0.201,0.0,0.006,0.64,0.43,0.925,0.0,28.75,28.36,28.359,9728000000.0,275880000000.0,14484000000.0,0.275,0.3,0.485,1.014,0.0,0.0,0.0,6225920000.0,12,Technology
1999-06-30,0.394,55.423,15.172,12.586,0.307,0.274,0.21,0.0,0.004,0.939,0.478,2.235,0.0,43.4,42.91,42.906,10056000000.0,431465250000.0,19747000000.0,0.363,0.734,0.518,-0.033,0.0,0.0,0.0,9442584000.0,13,Technology
2000-06-30,0.41,38.383,8.741,8.996,0.261,0.228,0.181,0.0,0.001,1.261,0.57,2.773,0.0,35.31,34.84,34.844,10378000000.0,361608437500.0,22956000000.0,0.163,0.21,0.385,-0.55,0.0,0.0,0.0,13086658000.0,14,Technology
2001-06-30,0.29,47.841,7.432,11.541,0.253,0.155,0.124,0.0,0.0,1.153,0.487,3.168,0.0,33.27,32.9,32.9,10682000000.0,351437816023.0,25296000000.0,0.102,-0.22,-0.058,-1.0,0.0,0.0,0.0,12316346000.0,15,Technology
2002-06-30,0.276,33.214,4.983,8.11,0.296,0.15,0.116,0.0,0.0,1.271,0.484,3.435,0.0,24.33,24.05,24.05,10812000000.0,260028591350.4,28365000000.0,0.121,0.066,0.115,0.0,-1.0,0.0,0.0,13742052000.0,16,Technology
2003-06-30,0.31,28.146,4.609,6.816,0.304,0.164,0.126,0.003,0.086,1.39,0.463,3.882,0.0,26.83,26.23,26.23,10723000000.0,281264284638.5,32187000000.0,0.135,0.276,0.085,0.0,26.767,0.08,843792870.0,14904970000.0,17,Technology
2004-06-30,0.222,37.681,4.113,9.193,0.235,0.109,0.088,0.006,0.212,1.251,0.367,4.441,0.0,29.97,28.49,28.49,10803000000.0,307777467839.4,36835000000.0,0.144,-0.183,-0.093,1.003,56.48,0.17,1846664820.0,13514553000.0,18,Technology
2005-06-30,0.308,22.653,5.769,5.545,0.472,0.255,0.173,0.13,2.947,1.457,0.397,2.662,0.0,26.06,25.61,25.61,10839000000.0,277586796503.4,39788000000.0,0.08,0.5,0.168,19.817,2658.7,3.33,36086282700.0,15792423000.0,19,Technology
2006-06-30,0.285,20.091,6.312,4.736,0.735,0.314,0.181,0.014,0.281,1.229,0.29,1.937,3866000000.0,24.89,24.25,24.25,10438000000.0,253121500000.0,44282000000.0,0.113,0.028,-0.188,-0.898,0.0,0.34,3543701000.0,12828302000.0,20,Technology
2007-06-30,0.275,20.364,9.21,4.48,1.031,0.452,0.223,0.013,0.271,1.594,0.304,1.463,4760000000.0,30.03,29.4,29.4,9742000000.0,286414796103.2,51122000000.0,0.154,0.116,0.211,0.15,0.0,0.38,3723392400.0,15528748000.0,21,Technology
2008-06-30,0.293,13.838,6.743,2.915,1.006,0.487,0.243,0.016,0.227,1.976,0.305,1.246,12108000000.0,27.34,26.23,26.23,9328000000.0,244673435336.0,60420000000.0,0.182,0.257,0.187,0.102,4.386,0.42,3914775040.0,18432128000.0,22,Technology
2009-06-30,0.249,14.619,5.384,2.953,0.969,0.368,0.187,0.021,0.307,1.78,0.272,1.577,12503000000.0,24.49,23.81,23.81,8945000000.0,212980445527.5,58437000000.0,-0.033,-0.176,-0.136,0.16,2.121,0.5,4472589450.0,15922100000.0,23,Technology
2010-06-30,0.3,12.125,4.926,2.413,0.865,0.406,0.218,0.02,0.244,2.507,0.354,1.905,12394000000.0,26.43,25.81,25.81,8813000000.0,227463525593.5,62484000000.0,0.069,0.288,0.388,0.04,-0.844,0.52,4549270600.0,22094191000.0,24,Technology
2011-06-30,0.331,10.049,4.075,1.927,0.904,0.406,0.213,0.022,0.224,2.902,0.352,2.355,12581000000.0,28.53,27.4,27.4,8490000000.0,232625996604.0,69943000000.0,0.119,0.234,0.115,0.175,0.796,0.6,5117772000.0,24637980000.0,25,Technology
2012-06-30,0.23,14.658,3.75,2.779,0.827,0.256,0.14,0.026,0.376,3.492,0.398,2.411,13452000000.0,30.47,29.64,29.64,8396000000.0,248857434962.4,73723000000.0,0.054,-0.267,0.19,0.246,0.947,0.77,6470293440.0,29318832000.0,26,Technology
2013-06-30,0.281,12.201,3.379,2.308,0.804,0.277,0.153,0.028,0.341,2.934,0.316,2.526,14655000000.0,32.3,31.85,31.85,8375000000.0,266743753350.0,77849000000.0,0.056,0.288,-0.162,0.171,1.068,0.89,7468825000.0,24572250000.0,27,Technology
2014-06-30,0.254,16.384,4.028,3.071,0.92,0.246,0.128,0.025,0.402,3.223,0.308,2.307,20127000000.0,44.62,43.58,43.58,8299000000.0,361670434938.2,86833000000.0,0.115,0.01,0.088,0.202,1.142,1.09,9041760500.0,26747677000.0,28,Technology
2015-06-30,0.13,31.439,4.787,5.806,1.201,0.152,0.069,0.026,0.81,2.829,0.247,2.295,16939000000.0,47.56,46.88,46.88,8177000000.0,383337768994.7,93580000000.0,0.078,-0.448,-0.135,0.13,1.326,1.22,9966781760.0,23132733000.0,29,Technology
2016-06-30,0.197,26.741,6.239,4.786,1.69,0.233,0.087,0.025,0.655,3.152,0.293,2.216,17872000000.0,57.5,56.68,56.68,7925000000.0,449189002377.5,85320000000.0,-0.088,0.378,0.08,0.149,1.276,1.42,11229725000.0,24979600000.0,30,Technology
2017-06-30,0.236,26.682,7.815,4.667,2.33,0.293,0.088,0.021,0.559,4.051,0.349,2.368,35122000000.0,74.03,73.04,73.04,7746000000.0,565767846971.4,89950000000.0,0.054,0.262,0.256,0.101,1.011,1.53,11881124640.0,31379046000.0,31,Technology
2018-06-30,0.15,48.962,9.809,8.514,2.129,0.2,0.064,0.016,0.766,4.189,0.292,2.74,35683000000.0,106.92,105.37,105.37,7700000000.0,811349020790.0,110360000000.0,0.227,-0.218,0.028,0.079,0.853,1.69,12981584000.0,32255300000.0,32,Technology
2019-06-30,0.312,27.444,10.524,4.756,1.8,0.383,0.137,0.013,0.352,4.986,0.304,2.353,42026000000.0,141.83,140.35,140.35,7673000000.0,1076905596805.3,125843000000.0,0.14,1.368,0.186,0.091,0.682,1.82,13999772150.0,38257578000.0,33,Technology
2020-06-30,0.31,35.042,13.116,6.022,1.547,0.374,0.147,0.01,0.342,5.944,0.316,2.331,43351000000.0,205.68,203.9,203.9,7610000000.0,1551678953579.0,143015000000.0,0.136,0.128,0.182,0.105,0.646,2.04,15516790000.0,45233840000.0,34,Technology
2021-06-30,0.365,35.094,15.144,5.981,1.351,0.432,0.184,0.008,0.27,7.436,0.334,1.899,49711000000.0,286.47,284.91,284.91,7547000000.0,2150215797923.9,168088000000.0,0.175,0.384,0.241,0.101,0.576,2.28,17201726160.0,56119492000.0,35,Technology
