Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,ebitda,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,ebitdaMargin,company_age,sector
1997-05-31,0.087,21.786,5.493,20.387,0.699,0.252,0.148,0.006,0.127,1.178,0.0,7.48,7.3,7.297,2376000000.0,17337375000.0,9186500000.0,1463500000.0,0.42,0.439,-2.257,0.266,0.527,0.04,104068800.0,0.159,7,Consumer Cyclical
1998-05-31,0.042,35.281,4.322,32.189,0.655,0.123,0.074,0.009,0.319,1.046,0.0,6.13,6.09,6.086,2316521739.0,14098207679.206,9553100000.0,886500000.0,0.04,-0.498,1.081,0.294,0.976,0.05,126968556.51,0.093,8,Consumer Cyclical
1999-05-31,0.051,39.858,5.395,35.654,0.574,0.135,0.086,0.008,0.302,1.212,0.0,8.01,7.92,7.922,2271194969.0,17992122645.047,8776900000.0,974900000.0,-0.081,0.13,48.733,0.091,1.157,0.06,143902913.24,0.111,9,Consumer Cyclical
2000-05-31,0.064,18.958,3.501,16.473,0.867,0.185,0.099,0.012,0.23,0.852,0.0,5.09,4.98,4.977,2206095238.0,10978771935.907,8995100000.0,1142800000.0,0.025,0.283,-0.411,0.006,1.17,0.06,131836251.42,0.127,10,Consumer Cyclical
2001-05-31,0.062,19.261,3.25,16.417,0.665,0.169,0.101,0.011,0.22,1.078,0.0,5.39,5.25,5.249,2164036697.0,11358487613.379,9488800000.0,1135500000.0,0.055,0.018,-0.003,-0.007,0.787,0.06,124973119.25,0.12,11,Consumer Cyclical
2002-05-31,0.067,21.633,3.738,18.231,0.678,0.173,0.103,0.009,0.194,1.298,0.0,6.98,6.71,6.706,2139677419.0,14349211691.169,9893000000.0,1288900000.0,0.043,0.125,1.357,0.005,0.419,0.06,129215119.33,0.13,12,Consumer Cyclical
2003-05-31,0.044,29.883,3.549,24.933,0.682,0.119,0.071,0.01,0.291,1.357,0.0,6.99,6.69,6.686,2118435754.0,14164391060.183,10697000000.0,1119400000.0,0.081,-0.285,-0.084,0.08,0.184,0.07,141723351.94,0.105,13,Consumer Cyclical
2004-05-31,0.077,21.084,4.17,17.485,0.65,0.198,0.12,0.009,0.19,1.667,135400000.0,9.86,9.47,9.469,2105600000.0,19937400000.0,12253100000.0,1760400000.0,0.145,0.995,0.778,0.308,0.419,0.09,179460288.0,0.144,14,Consumer Cyclical
2005-05-31,0.088,18.785,4.032,15.556,0.558,0.215,0.138,0.01,0.195,2.044,0.0,11.49,10.83,10.825,2102559653.0,22760208243.725,13739700000.0,2147500000.0,0.121,0.281,0.01,0.323,0.866,0.11,227707210.42,0.156,15,Consumer Cyclical
2006-05-31,0.093,15.084,3.341,12.32,0.57,0.221,0.141,0.014,0.209,1.791,130800000.0,10.59,10.13,10.125,2073743017.0,20996648047.125,14954900000.0,2432500000.0,0.088,0.149,0.016,0.246,1.341,0.14,294098234.67,0.163,16,Consumer Cyclical
2007-05-31,0.091,19.693,4.181,15.633,0.521,0.212,0.14,0.012,0.23,2.067,130800000.0,15.49,14.57,14.572,2015540541.0,29371464533.722,16325900000.0,2470100000.0,0.092,0.071,0.173,0.216,1.831,0.17,352397108.19,0.151,17,Consumer Cyclical
2008-05-31,0.101,15.686,3.775,12.247,0.59,0.241,0.151,0.014,0.219,1.677,448800000.0,15.98,14.9,14.902,1982400000.0,29542716000.0,18627000000.0,2824400000.0,0.141,0.263,-0.05,0.221,2.202,0.21,413528640.0,0.152,18,Consumer Cyclical
2009-05-31,0.078,16.888,2.888,12.902,0.524,0.171,0.112,0.019,0.314,1.934,193500000.0,14.13,12.95,12.945,1939600000.0,25108122000.0,19176100000.0,2339800000.0,0.029,-0.211,-0.139,0.155,1.827,0.25,477238580.0,0.122,19,Consumer Cyclical
2010-05-31,0.1,17.2,3.362,13.156,0.478,0.195,0.132,0.015,0.265,2.317,187600000.0,18.47,16.89,16.888,1942000000.0,32795526942.0,19014000000.0,2912400000.0,-0.008,0.283,1.21,0.082,1.312,0.25,492005700.0,0.153,20,Consumer Cyclical
2011-05-31,0.102,20.059,4.347,15.026,0.524,0.217,0.142,0.013,0.26,1.939,205000000.0,23.52,22.5,22.495,1902000000.0,42785491902.0,20862000000.0,3206000000.0,0.097,0.119,-0.512,0.121,1.08,0.29,556335000.0,0.154,21,Consumer Cyclical
2012-05-31,0.092,18.164,3.89,13.163,0.49,0.214,0.144,0.015,0.278,1.821,201000000.0,23.2,21.95,21.945,1840000000.0,40378800000.0,24128000000.0,3391000000.0,0.157,0.042,-0.057,0.153,0.973,0.33,605820000.0,0.141,22,Consumer Cyclical
2013-05-31,0.098,22.994,5.122,16.252,0.576,0.223,0.141,0.012,0.283,2.313,131000000.0,33.7,31.84,31.84,1794600000.0,57140064000.0,25313000000.0,3806000000.0,0.049,0.118,0.836,0.164,0.881,0.38,685680768.0,0.15,23,Consumer Cyclical
2014-05-31,0.097,25.439,6.329,17.702,0.718,0.249,0.145,0.012,0.297,1.706,131000000.0,40.03,38.78,38.775,1766800000.0,68507673533.6,27799000000.0,4176000000.0,0.098,0.084,-0.112,0.154,0.879,0.47,822198048.0,0.15,24,Consumer Cyclical
2015-05-31,0.107,28.439,7.325,19.304,0.7,0.258,0.152,0.01,0.275,1.465,131000000.0,56.25,54.01,54.01,1723400000.0,93080830553.2,30601000000.0,4854000000.0,0.101,0.215,0.751,0.153,1.004,0.54,930808340.0,0.159,25,Consumer Cyclical
2016-05-31,0.116,24.927,7.646,16.669,0.745,0.307,0.176,0.011,0.272,1.623,131000000.0,57.05,55.2,55.2,1697900000.0,93724081697.9,32376000000.0,5285000000.0,0.058,0.149,-0.475,0.154,1.063,0.61,1030964880.0,0.163,26,Consumer Cyclical
2017-05-31,0.123,23.068,7.883,15.062,0.875,0.342,0.182,0.012,0.267,1.801,139000000.0,61.3,59.0,59.0,1657800000.0,97810200000.0,34350000000.0,5602000000.0,0.061,0.128,0.298,0.135,1.032,0.71,1173722400.0,0.163,27,Consumer Cyclical
2018-05-31,0.053,66.934,13.186,42.807,1.297,0.197,0.086,0.01,0.643,1.448,154000000.0,82.3,79.68,79.68,1623800000.0,129384384000.0,36397000000.0,5099000000.0,0.06,-0.544,0.549,0.12,0.954,0.8,1293843840.0,0.14,28,Consumer Cyclical
2019-05-31,0.103,32.915,14.67,20.479,1.624,0.446,0.17,0.01,0.331,1.136,154000000.0,86.78,83.95,83.95,1579700000.0,132615810260.9,39117000000.0,5521000000.0,0.075,1.084,0.218,0.102,0.865,0.84,1326158150.0,0.141,29,Consumer Cyclical
2020-05-31,0.068,60.197,18.975,36.958,2.891,0.315,0.081,0.01,0.572,1.393,223000000.0,103.41,98.05,98.05,1558800000.0,152840344676.4,37403000000.0,4006000000.0,-0.044,-0.37,-0.708,0.105,0.786,0.98,1528403400.0,0.107,30,Consumer Cyclical
2021-05-31,0.129,42.433,19.034,26.289,1.956,0.449,0.152,0.007,0.286,1.854,242000000.0,160.78,154.49,154.49,1573000000.0,243012777865.0,44538000000.0,7458000000.0,0.191,1.256,3.262,0.118,0.73,1.08,1701089390.0,0.167,31,Consumer Cyclical
