Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-31,0.177,44.056,12.29,0.933,0.279,0.009,0.398,0.182,26.09,25.85,3771000000.0,97495017304.5,12504000000.0,686322000.0,0.055,53,Healthcare
1998-12-31,0.247,45.995,17.495,1.077,0.38,0.006,0.291,0.457,41.09,40.68,3789000000.0,154130334836.4,13544000000.0,1731573000.0,0.128,54,Healthcare
1999-12-31,0.196,39.644,14.181,1.315,0.358,0.009,0.361,0.396,33.58,33.38,3775000000.0,126027331967.5,16204000000.0,1494900000.0,0.092,55,Healthcare
2000-12-31,0.126,70.019,16.229,1.084,0.232,0.008,0.59,0.645,42.19,42.01,6210000000.0,260890712649.0,29574000000.0,4005450000.0,0.135,56,Healthcare
2001-12-31,0.241,31.353,13.348,1.14,0.426,0.011,0.349,1.132,39.3,39.14,6239000000.0,244173393392.6,32259000000.0,7062548000.0,0.219,57,Healthcare
2002-12-31,0.282,19.014,8.698,1.324,0.457,0.018,0.347,1.369,28.49,28.19,6156000000.0,173524445845.2,32373000000.0,8427564000.0,0.26,58,Healthcare
2003-12-31,0.087,64.111,3.834,0.786,0.06,0.017,1.113,1.261,34.96,34.75,7213000000.0,250675715913.8,45188000000.0,9095593000.0,0.201,59,Healthcare
2004-12-31,0.216,15.314,2.548,0.811,0.166,0.029,0.447,1.824,23.34,23.1,7531000000.0,173984675964.6,52516000000.0,13736544000.0,0.262,60,Healthcare
2005-12-31,0.158,22.407,2.76,0.791,0.123,0.031,0.687,1.715,24.92,24.61,7361000000.0,181161613693.8,51298000000.0,12624115000.0,0.246,61,Healthcare
2006-12-31,0.4,9.274,2.513,0.609,0.271,0.039,0.358,2.146,25.02,24.76,7242000000.0,179332254087.6,48371000000.0,15541332000.0,0.321,62,Healthcare
2007-12-31,0.168,18.615,2.332,0.771,0.125,0.053,0.979,1.659,22.41,21.92,6917000000.0,151596496903.2,48418000000.0,11475303000.0,0.237,63,Healthcare
2008-12-31,0.168,11.483,1.617,0.928,0.141,0.092,1.054,2.458,14.15,13.83,6727000000.0,93054707377.1,48296000000.0,16534966000.0,0.342,64,Healthcare
2009-12-31,0.173,14.366,1.378,1.361,0.096,0.045,0.643,2.195,17.99,17.7,7007000000.0,124051824296.4,50009000000.0,15380365000.0,0.308,65,Healthcare
2010-12-31,0.122,16.759,1.576,1.216,0.094,0.044,0.737,1.237,17.44,17.22,8036000000.0,138380834496.8,67809000000.0,9940532000.0,0.147,66,Healthcare
2011-12-31,0.148,15.99,1.947,1.282,0.122,0.039,0.623,2.377,20.93,20.47,7817000000.0,160048247220.8,67425000000.0,18581009000.0,0.276,67,Healthcare
2012-12-31,0.247,13.332,2.39,1.281,0.179,0.034,0.448,2.113,27.5,26.1,7442000000.0,194240433009.6,58986000000.0,15724946000.0,0.267,68,Healthcare
2013-12-31,0.427,9.054,2.611,1.251,0.288,0.033,0.299,2.392,29.56,29.24,6813000000.0,199218849881.4,51584000000.0,16296696000.0,0.316,69,Healthcare
2014-12-31,0.184,20.597,2.639,1.37,0.128,0.035,0.723,2.411,30.18,29.65,6346000000.0,188152276679.8,49605000000.0,15300206000.0,0.308,70,Healthcare
2015-12-31,0.142,25.669,2.76,1.583,0.108,0.039,0.997,2.108,29.52,28.93,6176000000.0,178658677049.6,48851000000.0,13019008000.0,0.267,71,Healthcare
2016-12-31,0.137,25.07,3.038,1.877,0.121,0.04,1.014,2.283,30.13,29.71,6089000000.0,180879110017.9,52824000000.0,13901187000.0,0.263,72,Healthcare
2017-12-31,0.406,10.048,3.003,1.404,0.299,0.036,0.359,2.387,36.09,35.86,5970000000.0,214104358302.0,52546000000.0,14250390000.0,0.271,73,Healthcare
2018-12-31,0.208,20.77,3.653,1.509,0.176,0.034,0.715,2.321,39.64,39.45,5872000000.0,231648724718.4,53647000000.0,13628912000.0,0.254,74,Healthcare
2019-12-31,0.314,12.036,3.102,1.648,0.258,0.041,0.494,1.795,35.41,35.17,5569000000.0,195866053771.6,51750000000.0,9996355000.0,0.193,75,Healthcare
2020-12-31,0.229,20.739,3.154,1.435,0.152,0.042,0.878,2.09,36.22,35.9,5555000000.0,199424508332.5,41908000000.0,11609950000.0,0.277,76,Healthcare
2021-12-31,0.27,13.845,3.942,1.347,0.285,0.029,0.397,5.333,54.68,54.33,5601000000.0,304302340081.8,81288000000.0,29870133000.0,0.367,77,Healthcare
