Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24495000000.0,0.0,0.0,63,Industrials
1998-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25687000000.0,0.0,0.0,64,Industrials
1999-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23844000000.0,0.0,0.0,65,Industrials
2000-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26206000000.0,0.0,0.0,66,Industrials
2001-12-31,0.069,10.071,2.332,2.157,0.232,0.022,0.218,2.225,22.41,20.76,940400000.0,19518182368.72,27897000000.0,2092390000.0,0.075,67,Industrials
2002-12-31,0.079,8.39,2.245,2.411,0.268,0.025,0.207,2.399,22.06,19.86,944800000.0,18759245018.48,28212000000.0,2266575200.0,0.08,68,Industrials
2003-12-31,0.076,12.066,2.433,1.899,0.202,0.019,0.226,2.475,31.78,30.06,947600000.0,28487635310.8,31034000000.0,2345310000.0,0.076,69,Industrials
2004-12-31,0.074,11.282,2.245,1.793,0.199,0.021,0.237,2.963,34.41,32.1,980000000.0,31453744154.0,37445000000.0,2903740000.0,0.078,70,Industrials
2005-12-31,0.072,11.86,2.142,1.657,0.181,0.023,0.271,3.436,38.99,36.73,991000000.0,36396953391.9,42725000000.0,3405076000.0,0.08,71,Industrials
2006-12-31,0.078,11.064,2.387,1.677,0.216,0.023,0.255,3.928,44.73,42.13,980000000.0,41290746896.0,47829000000.0,3849440000.0,0.08,72,Industrials
2007-12-31,0.077,10.449,2.067,1.513,0.198,0.024,0.256,4.333,48.8,45.78,964000000.0,44135305664.4,54759000000.0,4177012000.0,0.076,73,Industrials
2008-12-31,0.08,6.042,1.78,2.484,0.295,0.043,0.258,5.272,34.81,30.2,938000000.0,28328899599.0,58681000000.0,4945136000.0,0.084,74,Industrials
2009-12-31,0.072,10.17,1.941,1.732,0.191,0.035,0.354,4.937,47.32,42.47,917000000.0,38942203145.3,52920000000.0,4527229000.0,0.086,75,Industrials
2010-12-31,0.08,10.641,2.176,1.676,0.204,0.032,0.339,5.552,55.74,51.25,908000000.0,46531428836.0,54326000000.0,5041216000.0,0.093,76,Industrials
2011-12-31,0.086,8.75,1.991,1.749,0.228,0.037,0.322,6.286,55.52,48.84,892000000.0,43567097182.4,58190000000.0,5607112000.0,0.096,77,Industrials
2012-12-31,0.089,9.786,1.937,2.406,0.198,0.035,0.342,4.148,61.46,56.07,895287958.0,50201483369.981,57708000000.0,3713654449.784,0.064,78,Industrials
2013-12-31,0.091,11.366,2.041,1.801,0.18,0.029,0.334,4.958,77.3,72.17,901000000.0,65026233810.7,62626000000.0,4467158000.0,0.071,79,Industrials
2014-12-31,0.096,10.429,2.078,1.881,0.199,0.032,0.329,5.604,78.06,72.23,898000000.0,64866228984.0,65100000000.0,5032392000.0,0.077,80,Industrials
2015-12-31,0.136,6.332,1.761,2.143,0.278,0.045,0.287,4.853,63.29,55.19,873000000.0,48177072362.7,56098000000.0,4236669000.0,0.076,81,Industrials
2016-12-31,0.088,11.118,2.038,2.195,0.183,0.037,0.409,2.192,77.45,68.7,818000000.0,56199536947.2,57244000000.0,1793056000.0,0.031,82,Industrials
2017-12-31,0.076,14.908,2.292,2.212,0.154,0.031,0.456,4.097,97.28,85.9,790000000.0,67863436202.0,59837000000.0,3236630000.0,0.054,83,Industrials
2018-12-31,0.079,11.382,1.56,2.435,0.137,0.036,0.412,5.025,82.66,74.97,800000000.0,59972308320.0,66501000000.0,4020000000.0,0.06,84,Industrials
2019-12-31,0.072,14.965,1.984,2.286,0.133,0.029,0.441,7.34,105.55,96.92,855000000.0,82863434704.5,77046000000.0,6275700000.0,0.081,85,Industrials
2020-12-31,-0.062,-25.748,1.256,1.224,-0.049,0.03,-0.776,1.207,73.21,66.73,1357800000.0,90605998616.52,56587000000.0,1638864600.0,0.029,86,Industrials
2021-12-31,0.06,34.844,1.843,1.187,0.053,0.022,0.765,3.186,95.58,90.33,1490500000.0,134636867682.9,64388000000.0,4748733000.0,0.074,87,Industrials
