Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-31,0.113,10.511,1.603,0.664,3.602,0.152,0.033,0.022,0.235,3.785,0.104,0.155,408534000.0,41.06,43.52,43.516,170404106.0,7415241175.156,6219273000.0,0.085,0.567,-0.307,0.06,0.214,0.96,163151707.25,644979541.21,6,Financial Services
1998-12-31,0.01,80.547,1.084,7.317,4.699,0.013,0.002,0.031,2.533,-0.064,-0.002,0.125,592057000.0,25.85,29.38,29.375,244993939.0,7196696958.125,9108401000.0,0.465,-0.873,-1.024,-0.05,0.152,0.91,223135579.76,-15679612.096,7,Financial Services
1999-12-31,0.11,8.31,1.071,0.712,4.941,0.129,0.021,0.035,0.295,-0.978,-0.03,0.146,509000000.0,24.77,30.0,30.0,231024931.0,6930747930.0,7569000000.0,-0.169,8.334,-13.411,0.153,0.328,1.05,242576177.55,-225942382.518,8,Financial Services
2000-12-31,0.115,10.713,1.472,0.869,4.637,0.137,0.024,0.023,0.243,-3.047,-0.077,0.152,510000000.0,43.2,48.6,48.6,218888889.0,10637999567.622,8608000000.0,0.137,0.191,-1.951,0.034,0.303,1.12,244674000.12,-666954444.783,9,Financial Services
2001-12-31,-0.122,-8.466,1.801,-0.666,6.493,-0.213,-0.92,0.027,-0.225,4.325,0.103,0.197,0.0,34.01,43.45,43.45,212000000.0,9211400212.0,8943000000.0,0.039,-2.096,2.375,0.05,0.259,1.17,248707800.0,916900000.0,10,Financial Services
2002-12-31,0.024,31.944,1.212,2.558,5.947,0.038,0.148,0.036,1.161,0.296,0.007,0.181,0.0,23.74,32.24,32.24,216000000.0,6963840432.0,8918000000.0,-0.003,1.2,-0.93,0.014,0.204,1.16,250698240.0,63936000.0,11,Financial Services
2003-12-31,0.075,14.532,1.543,1.229,5.356,0.106,0.544,0.028,0.411,0.373,0.01,0.115,926000000.0,30.91,42.13,42.13,228000000.0,9605640228.0,8854000000.0,-0.007,2.032,0.328,0.019,0.291,1.18,268957920.0,85044000.0,12,Financial Services
2004-12-31,0.042,23.504,1.059,5.301,4.274,0.045,0.009,0.029,0.683,8.616,0.229,0.205,5281000000.0,28.9,36.9,36.9,608300000.0,22446271216.6,22934000000.0,1.59,0.445,60.659,-0.102,0.007,1.07,650941830.0,5241112800.0,13,Financial Services
2005-12-31,0.067,19.284,1.402,4.836,4.075,0.073,0.014,0.02,0.387,5.342,0.148,0.197,3442000000.0,39.65,46.25,46.25,676300000.0,31278875000.0,24365000000.0,0.062,0.698,-0.311,-0.134,-0.157,0.93,625577500.0,3612794600.0,14,Financial Services
2006-12-31,0.168,8.425,1.411,2.147,3.526,0.167,1.001,0.02,0.167,6.948,0.19,0.2,3438000000.0,45.08,51.6,51.6,687100000.0,35454358625.8,25090000000.0,0.03,1.594,0.321,0.1,-0.116,1.03,709087200.0,4773970800.0,15,Financial Services
2007-12-31,0.177,6.785,1.173,1.642,3.329,0.173,1.1,0.024,0.161,8.099,0.203,0.222,3366000000.0,40.3,47.83,47.83,652700000.0,31218642305.4,26017000000.0,0.037,0.093,0.107,0.113,-0.029,1.15,749247384.0,5286217300.0,16,Financial Services
2008-12-31,0.119,7.881,0.91,1.743,3.335,0.115,0.721,0.031,0.245,5.262,0.128,0.228,3366000000.0,39.23,38.64,38.64,596400000.0,23044895403.6,24477000000.0,-0.059,-0.364,-0.406,0.055,0.005,1.2,714391776.0,3138256800.0,17,Financial Services
2009-12-31,0.147,8.013,1.059,1.702,2.996,0.132,0.916,0.024,0.191,7.387,0.171,0.215,3365000000.0,51.12,50.67,50.67,572800000.0,29023774854.4,24680000000.0,0.008,0.239,0.348,0.009,0.129,1.22,696570624.0,4231273600.0,18,Financial Services
2010-12-31,0.128,8.269,1.044,1.461,3.129,0.126,0.12,0.025,0.209,6.409,0.122,0.228,3365000000.0,56.23,55.81,55.81,476500000.0,26593465476.5,25112000000.0,0.018,-0.112,-0.278,0.167,0.521,1.4,664836625.0,3053888500.0,19,Financial Services
2011-12-31,0.056,16.944,0.987,2.612,3.273,0.058,0.055,0.028,0.466,5.216,0.085,0.199,3365000000.0,58.62,58.11,58.11,415800000.0,24162138415.8,25446000000.0,0.013,-0.557,-0.29,0.132,0.565,1.63,676539864.0,2168812800.0,20,Financial Services
2012-12-31,0.096,12.115,1.179,1.735,3.131,0.097,0.099,0.023,0.281,8.364,0.125,1.228,3365000000.0,78.43,77.58,77.58,386200000.0,29961396772.4,25740000000.0,0.012,0.734,0.489,0.124,0.581,1.78,689112108.0,3230176800.0,21,Financial Services
2013-12-31,0.14,8.303,1.23,1.14,3.187,0.148,0.11,0.024,0.198,10.305,0.146,1.213,3634000000.0,83.15,82.36,82.36,370300000.0,30497908370.3,26191000000.0,0.018,0.485,0.181,0.096,0.642,1.98,731949792.0,3815941500.0,22,Financial Services
2014-12-31,0.136,9.435,1.403,1.185,3.15,0.149,0.112,0.021,0.197,10.9,0.136,1.217,3611000000.0,103.92,102.82,102.82,338800000.0,34835416000.0,27162000000.0,0.037,0.005,-0.032,0.093,0.779,2.16,731543736.0,3692920000.0,23,Financial Services
2015-12-31,0.128,9.668,1.409,1.113,3.245,0.146,0.105,0.022,0.215,11.056,0.128,1.208,3573000000.0,108.26,107.04,107.04,310600000.0,33246624310.6,26800000000.0,-0.013,-0.069,-0.07,0.106,0.685,2.35,731425728.0,3433993600.0,24,Financial Services
2016-12-31,0.109,11.232,1.458,1.2,3.317,0.13,0.092,0.022,0.251,14.585,0.152,1.199,3580000000.0,118.58,117.51,117.51,288100000.0,33854631576.2,27625000000.0,0.031,-0.124,0.224,0.104,0.643,2.59,744801882.0,4201938500.0,25,Financial Services
2017-12-31,0.071,19.964,1.73,2.043,3.361,0.087,0.062,0.019,0.382,13.63,0.13,1.195,3951000000.0,149.97,148.72,148.72,276000000.0,41046720276.0,28902000000.0,0.046,-0.318,-0.105,0.082,0.583,2.83,779887680.0,3761880000.0,26,Financial Services
2018-12-31,0.083,13.341,1.47,1.323,3.553,0.11,0.105,0.024,0.323,16.38,0.145,1.174,3937000000.0,127.27,125.88,125.88,267400000.0,33660311197.8,30282000000.0,0.048,0.227,0.164,0.07,0.546,3.02,807847488.0,4380012000.0,27,Financial Services
2019-12-31,0.083,13.307,1.345,1.283,3.245,0.101,0.11,0.024,0.322,20.019,0.165,1.206,3961000000.0,136.1,134.2,134.2,260000000.0,34891999220.0,31581000000.0,0.043,0.039,0.188,0.066,0.509,3.22,837408000.0,5204940000.0,28,Financial Services
2020-12-31,0.084,12.801,1.182,1.202,2.999,0.092,0.023,0.025,0.319,25.736,0.204,21.339,3976000000.0,139.14,136.3,136.3,253500000.0,34552050760.5,31981000000.0,0.013,0.029,0.252,0.046,0.428,3.41,863801250.0,6524076000.0,29,Financial Services
2021-12-31,0.105,11.32,1.435,1.043,3.17,0.127,0.03,0.021,0.237,29.272,0.213,23.398,4008000000.0,170.22,166.82,166.82,253500000.0,42288871774.5,34816000000.0,0.089,0.358,0.116,0.009,0.305,3.5,888066270.0,7420452000.0,30,Financial Services
