Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.039,17.219,1.747,0.681,0.101,0.004,0.076,0.332,5.46,5.29,1496000000.0,7920713958.731,11794000000.0,496672000.0,0.042,13,Healthcare,Healthcare Plans
1998-12-31,-0.01,-42.574,1.75,1.402,-0.041,0.005,-0.205,0.563,5.7,4.63,1528000000.0,7067328666.535,17355000000.0,860264000.0,0.05,14,Healthcare,Healthcare Plans
1999-12-31,0.029,13.344,1.962,1.659,0.147,0.001,0.011,0.713,6.59,5.44,1392800000.0,7579292894.725,19562000000.0,993066400.0,0.051,15,Healthcare,Healthcare Plans
2000-12-31,0.035,20.813,4.153,1.997,0.2,0.0,0.007,0.984,12.91,11.81,1296800000.0,15318053029.549,21122000000.0,1276051200.0,0.06,16,Healthcare,Healthcare Plans
2001-12-31,0.039,20.545,4.821,2.209,0.235,0.0,0.01,1.136,16.24,15.01,1249600000.0,18757761877.789,23454000000.0,1419545600.0,0.061,17,Healthcare,Healthcare Plans
2002-12-31,0.054,15.934,4.865,2.199,0.305,0.0,0.007,1.651,18.68,17.75,1213600000.0,21542750260.219,25020000000.0,2003653600.0,0.08,18,Healthcare,Healthcare Plans
2003-12-31,0.064,16.284,5.795,2.439,0.356,0.0,0.005,2.25,27.15,25.23,1178000000.0,29719128279.115,28566000000.0,2650500000.0,0.093,19,Healthcare,Healthcare Plans
2004-12-31,0.07,17.687,4.269,1.601,0.241,0.0,0.007,3.023,39.73,36.55,1252000000.0,45755937357.064,36830000000.0,3784796000.0,0.103,20,Healthcare,Healthcare Plans
2005-12-31,0.074,18.368,3.418,1.333,0.186,0.0,0.006,3.017,52.2,47.92,1265000000.0,60614957761.358,44866000000.0,3816505000.0,0.085,21,Healthcare,Healthcare Plans
2006-12-31,0.059,14.002,2.798,1.322,0.2,0.001,0.01,4.314,51.01,43.33,1344000000.0,58233299316.73,70671000000.0,5798016000.0,0.082,22,Healthcare,Healthcare Plans
2007-12-31,0.062,11.742,2.724,1.537,0.232,0.001,0.009,3.816,48.41,41.65,1312000000.0,54645738429.254,75431000000.0,5006592000.0,0.066,23,Healthcare,Healthcare Plans
2008-12-31,0.037,9.657,1.384,1.686,0.143,0.001,0.012,2.825,29.65,23.57,1220000000.0,28749417657.654,80415000000.0,3446500000.0,0.043,24,Healthcare,Healthcare Plans
2009-12-31,0.044,8.437,1.366,1.501,0.162,0.001,0.009,4.165,35.84,27.49,1173000000.0,32244574392.536,87138000000.0,4885545000.0,0.056,25,Healthcare,Healthcare Plans
2010-12-31,0.05,8.086,1.451,1.442,0.179,0.012,0.097,4.968,42.9,34.5,1086000000.0,37470870309.172,93546000000.0,5395248000.0,0.058,26,Healthcare,Healthcare Plans
2011-12-31,0.051,8.813,1.602,1.4,0.182,0.014,0.127,5.679,52.69,43.62,1039000000.0,45316498767.11,101208000000.0,5900481000.0,0.058,27,Healthcare,Healthcare Plans
2012-12-31,0.05,8.961,1.588,1.594,0.177,0.017,0.148,5.972,56.84,48.59,1019000000.0,49517331448.317,109938000000.0,6085468000.0,0.055,28,Healthcare,Healthcare Plans
2013-12-31,0.046,11.256,1.969,1.547,0.175,0.017,0.188,5.753,71.45,64.08,988000000.0,63315194977.486,121744000000.0,5683964000.0,0.047,29,Healthcare,Healthcare Plans
2014-12-31,0.043,16.141,2.795,1.662,0.173,0.015,0.242,6.841,102.92,95.07,954000000.0,90694660308.449,129695000000.0,6526314000.0,0.05,30,Healthcare,Healthcare Plans
2015-12-31,0.037,17.167,2.95,2.296,0.172,0.018,0.307,8.588,116.17,104.71,953000000.0,99788902208.535,156397000000.0,8184364000.0,0.052,31,Healthcare,Healthcare Plans
2016-12-31,0.038,20.343,3.73,2.211,0.183,0.016,0.322,8.498,160.9,149.94,952000000.0,142744880002.25,184012000000.0,8090096000.0,0.044,32,Healthcare,Healthcare Plans
2017-12-31,0.053,20.394,4.507,1.868,0.221,0.013,0.263,11.943,234.57,222.21,969000000.0,215317306976.517,200136000000.0,11572767000.0,0.058,33,Healthcare,Healthcare Plans
2018-12-31,0.053,20.607,4.778,1.894,0.232,0.013,0.277,14.219,268.6,257.28,960000000.0,246992471175.072,224871000000.0,13650240000.0,0.061,34,Healthcare,Healthcare Plans
2019-12-31,0.058,18.623,4.473,1.969,0.24,0.015,0.284,17.291,283.45,271.87,948000000.0,257728895088.846,240269000000.0,16391868000.0,0.068,35,Healthcare,Healthcare Plans
2020-12-31,0.06,20.141,4.737,1.969,0.235,0.015,0.298,21.272,345.84,327.95,946000000.0,310239415556.107,255639000000.0,20123312000.0,0.079,36,Healthcare,Healthcare Plans
2021-12-31,0.061,25.431,6.126,1.891,0.241,0.012,0.305,21.024,487.26,464.66,946000000.0,439572776307.441,285273000000.0,19888704000.0,0.07,37,Healthcare,Healthcare Plans
