Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
1998-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
1999-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2000-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2001-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2002-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2003-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980000000.0,0.346,1.299,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2004-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2005-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2664605000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2006-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2948126000.0,0.106,0.717,0.202,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2007-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3589796000.0,0.218,-3.367,0.163,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2008-09-30,0.128,45.073,1.714,11.084,0.655,0.038,0.023,0.003,0.116,0.043,0.018,0.95,10213000000.0,15.43,13.56,13.562,2672000000.0,36239000000.0,6263000000.0,0.745,1.747,-0.77,0.0,0.0,0.04,108696960.0,114896000.0,0,Financial Services
2009-09-30,0.34,14.521,1.473,2.411,0.392,0.101,0.073,0.009,0.135,0.14,0.037,1.301,10208000000.0,21.5,18.94,18.94,1804000000.0,34167761804.0,6911000000.0,0.103,1.927,1.172,4.065,0.0,0.17,307509840.0,252560000.0,1,Financial Services
2010-09-30,0.368,22.109,2.622,6.829,0.336,0.119,0.089,0.006,0.124,0.73,0.304,1.409,11447000000.0,20.69,19.54,19.54,3356000000.0,65576243356.0,8065000000.0,0.167,0.261,8.722,-0.378,0.0,0.12,393457440.0,2449880000.0,2,Financial Services
2011-09-30,0.397,21.469,2.964,6.512,0.315,0.138,0.105,0.005,0.116,1.068,0.383,1.266,11668000000.0,24.42,23.78,23.775,3296000000.0,78362400000.0,9188000000.0,0.139,0.231,0.436,0.17,0.0,0.12,391894400.0,3520128000.0,3,Financial Services
2012-09-30,0.206,52.253,4.055,15.581,0.448,0.078,0.054,0.005,0.278,1.43,0.445,0.525,11681000000.0,35.22,34.58,34.577,3240000000.0,112031096760.0,10421000000.0,0.134,-0.413,0.317,0.431,0.0,0.17,560196000.0,4633200000.0,4,Financial Services
2013-09-30,0.423,26.644,4.938,6.385,0.338,0.185,0.139,0.007,0.173,0.98,0.217,1.374,11681000000.0,51.79,50.96,50.955,2604000000.0,132686825208.0,11778000000.0,0.13,1.323,-0.449,0.807,8.533,0.36,928898880.0,2551920000.0,5,Financial Services
2014-09-30,0.428,27.286,5.413,6.298,0.407,0.198,0.141,0.007,0.185,2.652,0.524,0.941,11753000000.0,59.95,59.16,59.162,2508000000.0,148379544984.0,12702000000.0,0.078,0.092,1.608,0.209,1.276,0.41,1038612960.0,6651216000.0,6,Financial Services
2015-09-30,0.456,29.987,6.359,6.75,0.348,0.212,0.157,0.006,0.186,2.522,0.444,1.367,11825000000.0,79.02,77.58,77.58,2446000000.0,189760684892.0,13880000000.0,0.093,0.164,-0.072,0.2,3.388,0.47,1138564080.0,6168812000.0,7,Financial Services
2016-09-30,0.397,32.745,5.961,7.19,0.946,0.182,0.094,0.007,0.225,2.117,0.335,1.451,15066000000.0,83.18,82.22,82.22,2386000000.0,196176922386.0,15082000000.0,0.087,-0.053,-0.181,0.176,3.409,0.58,1373238440.0,5051162000.0,8,Financial Services
2017-09-30,0.365,37.863,7.742,8.032,1.075,0.204,0.099,0.006,0.236,3.688,0.463,1.6,15110000000.0,114.32,110.04,110.04,2305000000.0,253642202305.0,18358000000.0,0.217,0.118,0.683,0.211,2.73,0.66,1521853200.0,8500840000.0,9,Financial Services
2018-09-30,0.5,28.86,8.742,5.948,1.036,0.303,0.149,0.006,0.186,5.357,0.582,1.283,15194000000.0,134.82,132.76,132.76,2239301000.0,297289589563.495,20609000000.0,0.123,0.538,0.411,0.25,1.581,0.8,1783737604.56,11995935457.0,10,Financial Services
2019-09-30,0.526,32.486,11.315,6.545,1.092,0.348,0.166,0.006,0.188,5.494,0.523,1.242,15656000000.0,180.9,179.25,179.25,2189301000.0,392432204250.0,22977000000.0,0.115,0.173,0.003,0.21,1.584,1.08,2354593225.5,12028019694.0,11,Financial Services
2020-09-30,0.497,35.792,10.741,7.05,1.235,0.3,0.134,0.007,0.245,4.534,0.444,1.58,15910000000.0,189.32,181.71,181.71,2140301000.0,388914109692.107,21846000000.0,-0.049,-0.1,-0.193,0.201,1.587,1.27,2722398662.97,9704124734.0,12,Financial Services
2021-09-30,0.511,36.645,12.002,7.184,1.205,0.328,0.149,0.006,0.227,6.817,0.602,1.413,15958000000.0,219.51,211.77,211.77,2130301000.0,451133851291.204,24105000000.0,0.103,0.133,0.496,0.055,1.321,1.27,2706803056.62,14522261917.0,13,Financial Services
