Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16,9.08,0.0,0.0,0.0,13363000000.0,0.0,0.0,0,Healthcare,0.0,0.0
1998-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87,15.73,0.0,0.0,0.0,15307000000.0,0.0,0.0,0,Healthcare,0.0,0.0
1999-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34,18.2,0.0,0.0,0.0,17838800000.0,0.0,0.0,0,Healthcare,0.0,0.0
2000-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.35,27.34,0.0,0.0,0.0,21206900000.0,0.0,0.0,0,Healthcare,0.0,0.0
2001-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.49,24.9,0.0,0.0,0.0,24623000000.0,0.0,0.0,0,Healthcare,0.0,0.0
2002-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.79,22.36,0.0,0.0,0.0,28681100000.0,0.0,0.0,0,Healthcare,0.0,0.0
2003-08-31,0.0362,26.7102,4.3642,0.5851,0.1634,0.0049,0.1296,0.0,31.63,30.64,30.64,1024908276.0,31403189576.64,32505400000.0,0.1501,153875628.9255,0,Healthcare,1.0,0.2
2004-08-31,0.0363,26.9874,4.4614,0.6215,0.1653,0.0048,0.1301,0.0,37.48,35.83,35.83,1024512865.0,36708295952.95,37508200000.0,0.172,176199820.5742,0,Healthcare,0.1459,0.2292
2005-08-31,0.037,28.4095,4.9838,0.6433,0.1754,0.0048,0.1375,0.0,44.02,43.45,43.45,1019669630.0,44304645423.5,42201600000.0,0.2086,212662298.0328,0,Healthcare,0.2128,0.2717
2006-08-31,0.0369,25.617,4.4332,0.6935,0.1731,0.0059,0.1502,0.0,45.3,44.39,44.39,1010252562.0,44845111227.18,47409000000.0,0.2619,264586156.2404,0,Healthcare,0.2555,0.3228
2007-08-31,0.038,23.1105,4.2484,0.7393,0.1838,0.0066,0.152,1060200000.0,47.5,47.24,47.24,998633559.0,47175449327.16,53762000000.0,0.3118,311357965.5593,0,Healthcare,0.1905,0.3609
2008-08-31,0.0365,14.2205,2.3831,0.7414,0.1676,0.0123,0.1743,1437600000.0,31.41,30.96,30.96,990609865.0,30669281420.4,59034300000.0,0.3808,377232161.4709,0,Healthcare,0.2213,0.2052
2009-08-31,0.0317,18.4922,2.5804,0.7489,0.1395,0.012,0.2223,1461000000.0,39.58,37.47,37.47,990000000.0,37095300000.0,63335000000.0,0.4496,445143600.0,0,Healthcare,0.1807,0.2122
2010-08-31,0.031,15.7279,2.2838,0.8247,0.1452,0.0165,0.2587,1887000000.0,35.42,33.5,33.5,981700000.0,32886950000.0,67420000000.0,0.5528,542634675.0,0,Healthcare,0.2295,0.2155
2011-08-31,0.0376,11.0898,2.0272,0.8491,0.1828,0.0215,0.2384,2017000000.0,34.59,32.89,32.89,915100000.0,30097639000.0,72184000000.0,0.7071,647099238.5,0,Healthcare,0.2791,0.2202
2012-08-31,0.0297,14.9855,1.7479,0.8349,0.1166,0.0247,0.37,2161000000.0,37.92,36.44,36.44,874700000.0,31874068000.0,71633000000.0,0.9001,787289479.6,0,Healthcare,0.2729,0.2367
2013-08-31,0.0339,20.7734,2.6162,0.8238,0.1259,0.0204,0.4245,2410000000.0,56.03,53.8,53.8,946000000.0,50894800000.0,72217000000.0,1.0975,1038253920.0,0,Healthcare,0.2193,0.2363
2014-08-31,0.0253,29.2393,2.7614,0.8125,0.0944,0.0212,0.6206,2359000000.0,62.05,59.27,59.27,953100000.0,56490237000.0,76392000000.0,1.2565,1197593024.4,0,Healthcare,0.1449,0.2291
2015-08-31,0.0408,20.5426,2.809,1.2145,0.1367,0.016,0.328,16372000000.0,85.98,83.1,83.1,1043200000.0,86689920000.0,103444000000.0,1.3296,1387038720.0,1,Healthcare,0.0582,0.1949
2016-08-31,0.0356,20.9249,2.9223,1.4192,0.1397,0.0179,0.3746,15527000000.0,89.67,80.62,80.62,1083100000.0,87319522000.0,117351000000.0,1.4431,1563019443.8,2,Healthcare,0.0854,0.1561
2017-08-31,0.0345,20.3275,3.0181,1.3739,0.1485,0.0208,0.4225,15632000000.0,80.29,77.22,77.22,1073500000.0,82895670000.0,118214000000.0,1.6062,1724229936.0,3,Healthcare,0.113,0.1242
2018-08-31,0.0382,14.3798,2.7779,1.5932,0.1932,0.0241,0.3461,16914000000.0,73.69,72.9,72.9,991000000.0,72243900000.0,131537000000.0,1.7569,1741077990.0,4,Healthcare,0.0938,0.0991
2019-08-31,0.0291,12.7996,2.1678,1.8478,0.1694,0.0322,0.4126,16560000000.0,56.42,55.31,55.31,921500000.0,50968165000.0,136866000000.0,1.781,1641174913.0,5,Healthcare,0.0137,0.0728
2020-08-31,0.0033,69.272,1.5307,3.2,0.0221,0.0553,3.8311,15268000000.0,36.51,35.92,35.92,879400000.0,31588048000.0,139537000000.0,1.9864,1746819054.4,6,Healthcare,0.1153,0.0842
2021-08-31,0.0192,16.0066,1.7374,2.4537,0.1085,0.0397,0.6361,12421000000.0,0.0,0.0,47.05,864800000.0,40688840000.0,132509000000.0,0.0,0.0,7,Healthcare,-1.0,-0.1328
