Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.07,17.394,3.197,1.087,0.184,0.03,0.514,1.468,30.47,29.66,4961876833.0,147150659828.656,120279000000.0,7284035190.844,0.061,17,Energy,Oil & Gas Integrated
1998-12-31,0.063,26.873,3.758,1.033,0.14,0.024,0.648,0.553,35.42,35.13,4873563218.0,171183908032.25,100697000000.0,2695080459.554,0.027,18,Energy,Oil & Gas Integrated
1999-12-31,0.049,34.437,4.056,1.152,0.118,0.022,0.77,0.603,39.68,39.44,6907017544.0,272395504391.5,160883000000.0,4164931579.032,0.026,19,Energy,Oil & Gas Integrated
2000-12-31,0.076,16.075,3.85,1.014,0.24,0.022,0.36,2.085,42.01,40.99,6949019608.0,284840325545.253,232748000000.0,14488705882.68,0.062,20,Energy,Oil & Gas Integrated
2001-12-31,0.072,17.35,3.498,0.884,0.202,0.024,0.421,1.878,39.64,38.69,6869955157.0,265798555406.393,213488000000.0,12901775784.846,0.06,21,Energy,Oil & Gas Integrated
2002-12-31,0.056,19.663,3.021,1.009,0.154,0.028,0.557,1.45,34.3,33.23,6781065089.0,225334789516.937,204506000000.0,9832544379.05,0.048,22,Energy,Oil & Gas Integrated
2003-12-31,0.087,12.59,3.012,0.901,0.239,0.026,0.323,2.356,42.39,40.79,6638888889.0,270800283757.31,246738000000.0,15641222222.484,0.063,23,Energy,Oil & Gas Integrated
2004-12-31,0.085,13.113,3.264,0.88,0.249,0.021,0.281,4.409,54.13,51.27,6478260870.0,332140438044.03,298035000000.0,28562652175.83,0.096,24,Energy,Oil & Gas Integrated
2005-12-31,0.097,10.957,3.56,0.842,0.325,0.019,0.207,5.468,67.68,63.11,6272569444.0,395861861374.382,370680000000.0,34298409719.792,0.093,25,Energy,Oil & Gas Integrated
2006-12-31,0.105,11.136,3.864,0.924,0.347,0.017,0.193,5.72,79.17,74.39,5913173653.0,439880984498.766,377635000000.0,33823353295.16,0.09,26,Energy,Oil & Gas Integrated
2007-12-31,0.1,11.587,3.864,0.953,0.334,0.016,0.188,6.636,91.44,85.28,5517663043.0,470546297685.844,404552000000.0,36615211953.348,0.091,27,Energy,Oil & Gas Integrated
2008-12-31,0.095,8.708,3.486,0.978,0.4,0.02,0.178,7.848,82.59,76.48,5149000000.0,393795537506.6,477359000000.0,40409352000.0,0.085,28,Energy,Oil & Gas Integrated
2009-12-31,0.064,16.148,2.816,1.067,0.174,0.026,0.416,1.231,66.64,64.43,4832000000.0,311325761449.6,303443000000.0,5948192000.0,0.02,29,Energy,Oil & Gas Integrated
2010-12-31,0.082,12.668,2.628,1.02,0.207,0.022,0.279,4.41,80.59,78.99,4885000000.0,385866139741.5,372544000000.0,21542850000.0,0.058,30,Energy,Oil & Gas Integrated
2011-12-31,0.087,10.141,2.697,1.103,0.266,0.022,0.22,5.003,88.09,85.49,4870699881.0,416396122598.22,471140000000.0,24368111504.643,0.052,31,Energy,Oil & Gas Integrated
2012-12-31,0.099,9.35,2.53,0.978,0.271,0.024,0.225,4.732,92.74,90.67,4628000000.0,419620751669.6,453123000000.0,21899696000.0,0.048,32,Energy,Oil & Gas Integrated
2013-12-31,0.077,12.753,2.388,0.956,0.187,0.026,0.334,2.544,95.04,93.99,4420624152.0,415494454763.169,420836000000.0,11246067842.688,0.027,33,Energy,Oil & Gas Integrated
2014-12-31,0.083,11.503,2.145,0.966,0.186,0.031,0.356,2.843,88.5,87.42,4278947368.0,374065571208.455,394105000000.0,12165047367.224,0.031,34,Energy,Oil & Gas Integrated
2015-12-31,0.062,20.221,1.912,0.936,0.095,0.037,0.749,0.919,78.73,77.85,4194805195.0,326565578138.542,259488000000.0,3855025974.205,0.015,35,Energy,Oil & Gas Integrated
2016-12-31,0.036,45.138,2.115,0.935,0.047,0.035,1.588,1.419,85.74,84.86,4170212766.0,353884257824.888,218608000000.0,5917531914.954,0.027,36,Energy,Oil & Gas Integrated
2017-12-31,0.083,18.738,1.968,0.822,0.105,0.035,0.66,3.445,87.53,86.78,4256000000.0,369335674892.8,237162000000.0,14661920000.0,0.062,37,Energy,Oil & Gas Integrated
2018-12-31,0.075,14.697,1.597,0.77,0.109,0.045,0.662,3.88,73.01,72.29,4237000000.0,306292733813.3,279332000000.0,16439560000.0,0.059,38,Energy,Oil & Gas Integrated
2019-12-31,0.056,19.13,1.431,0.854,0.075,0.053,1.022,1.265,65.52,64.79,4234000000.0,274320863810.6,255583000000.0,5356010000.0,0.021,39,Energy,Oil & Gas Integrated
2020-12-31,-0.126,-8.541,1.22,1.073,-0.143,0.078,-0.662,-0.612,45.86,44.84,4274285714.0,191658972270.617,178574000000.0,-2615862856.968,-0.015,40,Energy,Oil & Gas Integrated
2021-12-31,0.083,13.966,1.909,0.968,0.137,0.046,0.648,8.435,76.87,75.28,4274285714.0,321768223420.777,276692000000.0,36053599997.59,0.13,41,Energy,Oil & Gas Integrated
