Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.2314,23.2365,3.1733,5.7198,0.1366,0.0026,0.0599,0.0,785.32,784.44,784.4445,98708906.0,77431654266.9429,14402738000.0,2.0395,201321156.9789,13,Financial Services,0.0,0.0
1998-12-31,0.2283,28.7,3.9259,6.0611,0.1368,0.0021,0.0597,0.0,1101.08,1098.0,1098.0,98437500.0,108084375000.0,16495000000.0,2.3058,226977187.5,14,Financial Services,0.1306,0.0
1999-12-31,0.2754,31.2356,4.5561,6.74,0.1459,0.0019,0.0599,0.0,1361.14,1360.0,1360.0,116100000.0,157896000000.0,18356000000.0,2.584,300002400.0,15,Financial Services,0.1207,0.0
2000-12-31,0.2798,35.9051,4.9256,6.4622,0.1372,0.0017,0.0594,0.0,1748.21,1746.0,1746.0,115900000.0,202361400000.0,20146000000.0,2.9682,344014380.0,16,Financial Services,0.1487,0.0
2001-12-31,0.2424,34.8408,3.4822,8.1873,0.0999,0.004,0.1385,0.0,1431.13,1425.8,1425.8,131050000.0,186851096421.45,22128000000.0,5.7032,747404360.0,17,Financial Services,0.9214,0.0
2002-12-31,0.0818,25.2018,2.3533,8.469,0.0934,0.0034,0.0846,6079000000.0,1073.92,1065.0,1065.0,130600000.0,139089000000.0,67482000000.0,3.621,472902600.0,18,Financial Services,-0.3651,0.1913
2003-12-31,0.1141,19.5454,2.544,8.4711,0.1302,0.0032,0.063,7633000000.0,1396.07,1389.0,1389.0,130500000.0,181264500000.0,81303000000.0,4.4448,580046400.0,19,Financial Services,0.2275,0.2106
2004-12-31,0.0993,17.6376,2.1292,8.8487,0.1207,0.0043,0.075,8601000000.0,1332.62,1317.2,1317.2,130300000.0,171631153615.3,97987000000.0,5.664,738013988.0,20,Financial Services,0.2743,0.2414
2005-12-31,0.0962,16.3772,1.9878,8.8249,0.1214,0.0083,0.1356,8093000000.0,1336.01,1321.4,1321.4,129850000.0,171583793116.4,108905000000.0,10.9676,1424145457.0,21,Financial Services,0.9364,0.3989
2006-12-31,0.1241,12.6613,1.7493,8.5542,0.1382,0.0092,0.1166,8628000000.0,1376.19,1364.0,1364.0,130400000.0,177865600000.0,113194000000.0,12.5488,1636363520.0,22,Financial Services,0.1442,0.2435
2007-12-31,0.0563,22.6688,1.4671,9.9611,0.0647,0.0134,0.3034,9414000000.0,1105.07,1087.4,1087.4,129250000.0,140546453102.0,110064000000.0,14.5712,1883322430.0,23,Financial Services,0.1612,0.3487
2008-12-31,-8.9417,-0.034,0.064,15.1336,-1.8837,0.4829,-0.0164,6952000000.0,91.22,25.6,25.6,131700000.0,3371520000.0,11104000000.0,12.3622,1628107008.0,24,Financial Services,-0.1516,0.2729
2009-12-31,-0.114,-0.2995,0.047,10.7343,-0.1568,0.0,0.0,6195000000.0,56.74,24.23,24.23,135324896.0,3278922230.08,96004000000.0,0.0,0.0,25,Financial Services,-1.0,0.018
2010-12-31,0.1007,0.7063,0.0645,6.6781,0.0913,0.0,-0.0,1333000000.0,51.67,40.26,40.26,136585844.0,5498945806.2683,77301000000.0,0.0,0.0,26,Financial Services,0.0,-0.1692
2011-12-31,0.2771,2.5477,0.4321,4.2062,0.1696,0.0,-0.0,0.0,26.02,25.2,25.2,1799385757.0,45344522875.7858,64237000000.0,0.0,0.0,27,Financial Services,0.0,-0.1981
2012-12-31,0.0524,18.4865,0.6485,4.5914,0.0351,0.0,-0.0,1469000000.0,38.35,37.67,37.67,1687197038.0,63556709047.0659,65552000000.0,0.0,0.0,28,Financial Services,0.0,-0.2303
2013-12-31,0.1304,7.9315,0.7172,4.3819,0.0904,0.0041,0.0324,1475000000.0,50.4,48.88,48.88,1474171690.0,72057513681.3717,69675000000.0,0.2004,295435800.0495,29,Financial Services,1.0,0.0
2014-12-31,0.1165,9.2687,0.6528,3.8196,0.0704,0.0102,0.0946,1454000000.0,50.1,48.87,48.87,1427959799.0,69784393949.1702,64608000000.0,0.4985,711800832.8467,30,Financial Services,1.4875,0.4975
2015-12-31,0.0373,33.4308,0.8188,4.5365,0.0245,0.014,0.4681,1613000000.0,57.73,56.48,56.48,1299825350.0,73414135768.0,58925000000.0,0.7907,1027797900.752,31,Financial Services,0.5862,0.6147
2016-12-31,-0.0161,-83.3928,0.9279,5.523,-0.0111,0.0194,-1.616,1528000000.0,66.6,64.89,64.89,1091085131.0,70800513059.5049,52754000000.0,1.2589,1373529974.5214,32,Financial Services,0.5921,0.7332
2017-12-31,-0.1219,-9.6895,0.9046,6.6378,-0.0934,0.0199,-0.1926,1594000000.0,65.89,63.35,63.35,930561286.0,58951055606.9774,49930000000.0,1.2607,1173126043.6152,33,Financial Services,0.0014,0.7334
2018-12-31,-0.0001,-6410.1237,0.6824,7.7123,-0.0001,0.0296,-189.6667,4082000000.0,46.01,42.81,42.81,898405537.0,38460741937.3755,47481000000.0,1.2672,1138437934.7535,34,Financial Services,0.0052,0.5345
2019-12-31,0.0672,13.4341,0.6848,6.9682,0.051,0.0253,0.3393,4038000000.0,54.56,51.3,51.3,876750264.0,44977287666.4497,49792000000.0,1.2979,1137925400.143,35,Financial Services,0.0242,0.2418
2020-12-31,-0.1356,-5.4756,0.4904,7.825,-0.0896,0.0348,-0.1904,4074000000.0,40.69,37.44,37.44,869309458.0,32546945238.2105,43839000000.0,1.3029,1132633724.5417,36,Financial Services,0.0039,0.1254
2021-12-31,0.1809,5.174,0.7365,7.9932,0.1423,0.0229,0.1184,4056000000.0,59.49,56.96,56.96,869309458.0,49515865858.3705,51885000000.0,1.3044,1133913348.0639,37,Financial Services,0.0012,0.0072
