Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.2747,20.4951,6.1726,0.4538,0.3012,0.0,0.0,0.0,12.73,12.5,12.5,1056400000.0,13205000000.0,2345700000.0,0.0,0.0,10,Healthcare,0.0,0.0
1998-12-31,0.3267,37.7648,12.7229,0.4332,0.3369,0.0,0.0,0.0,32.15,31.95,31.9531,1020200000.0,32598578125.0,2642300000.0,0.0,0.0,11,Healthcare,0.0,0.0
1999-12-31,0.3422,55.6209,20.1696,0.3486,0.3626,0.0,0.0,0.0,59.82,59.69,59.6875,1021700000.0,60982718750.0,3204200000.0,0.0,0.0,12,Healthcare,0.0,0.0
2000-12-31,0.3302,64.2087,16.9432,0.2515,0.2639,0.0,0.0,0.0,71.22,71.0,71.0,1029600000.0,73101600000.0,3448400000.0,0.0,0.0,13,Healthcare,0.0,0.0
2001-12-31,0.2788,51.3926,11.0297,0.235,0.2146,0.0,0.0,0.0,55.7,55.04,55.04,1045500000.0,57544321045.5,4015700000.0,0.0,0.0,14,Healthcare,0.0,0.0
2002-12-31,-0.252,-42.2483,3.2159,0.3374,-0.0761,0.0,0.0,0.0,52.59,50.98,50.98,1153500000.0,58805430000.0,5523000000.0,0.0,0.0,15,Healthcare,0.0,0.0
2003-12-31,0.2704,36.8701,4.2966,0.3501,0.1165,0.0,0.0,0.0,65.31,64.66,64.66,1288400000.0,83307949153.6,8356000000.0,0.0,0.0,16,Healthcare,0.0,0.0
2004-12-31,0.224,32.9718,3.9539,0.4829,0.1199,0.0,0.0,0.0,62.5,61.3,61.3,1271000000.0,77912298729.0,10550000000.0,0.0,0.0,17,Healthcare,0.0,0.0
2005-12-31,0.2956,24.3298,4.3708,0.4325,0.1796,0.0,0.0,0.0,73.81,72.32,72.32,1236000000.0,89387520000.0,12430000000.0,0.0,0.0,18,Healthcare,0.0,0.0
2006-12-31,0.2068,28.0366,4.3613,0.7817,0.1556,0.0,0.0,11302000000.0,71.42,70.33,70.33,1176000000.0,82708082352.0,14268000000.0,0.0,0.0,19,Healthcare,0.0,0.0
2007-12-31,0.2143,16.6809,2.9555,0.9385,0.1772,0.0,0.0,11240000000.0,49.09,47.28,47.28,1117000000.0,52811758883.0,14771000000.0,0.0,0.0,20,Healthcare,0.0,0.0
2008-12-31,0.2797,13.987,2.8789,0.7876,0.2058,0.0,0.0,11339000000.0,56.51,54.85,54.85,1070000000.0,58689497860.0,15003000000.0,0.0,0.0,21,Healthcare,0.0,0.0
2009-12-31,0.3145,12.9024,2.6212,0.7483,0.2032,0.0,-0.0,11335000000.0,61.32,58.48,58.48,1016000000.0,59415680000.0,14642000000.0,0.0,0.0,22,Healthcare,0.0,0.0
2010-12-31,0.3074,11.4715,2.2168,0.8162,0.1932,0.0,-0.0,11334000000.0,58.71,55.29,55.29,960000000.0,53078400960.0,15053000000.0,0.0,0.0,23,Healthcare,0.0,0.0
2011-12-31,0.2364,16.7903,3.2497,1.5682,0.1935,0.0081,0.1358,11750000000.0,76.01,68.33,68.33,905000000.0,61838651810.0,15582000000.0,0.5535,500893065.0,24,Healthcare,1.0,0.2
2012-12-31,0.2517,15.2289,3.4716,1.8488,0.228,0.0169,0.2573,12662000000.0,89.58,85.38,85.38,775000000.0,66169497675.0,17265000000.0,1.4429,1118264550.0,25,Healthcare,1.6069,0.5214
2013-12-31,0.2721,17.9158,4.1198,1.9926,0.23,0.0155,0.2785,14968000000.0,125.94,120.89,120.89,753000000.0,91030169247.0,18676000000.0,1.8738,1410967635.0,26,Healthcare,0.2986,0.5811
2014-12-31,0.2571,22.4051,4.4831,1.6771,0.2001,0.016,0.3589,14788000000.0,157.18,152.26,152.26,759000000.0,115565336205.0,20063000000.0,2.4362,1849045440.0,27,Healthcare,0.3001,0.6411
2015-12-31,0.3203,16.6839,4.1224,1.5487,0.2471,0.0207,0.3453,14787000000.0,158.2,152.73,152.73,758000000.0,115769336968.0,21662000000.0,3.1615,2396425338.0,28,Healthcare,0.2977,0.7007
2016-12-31,0.3359,14.959,3.8666,1.5984,0.2585,0.026,0.3882,14751000000.0,158.76,154.43,154.43,748000000.0,115513634764.0,22991000000.0,4.0152,3003354640.0,29,Healthcare,0.27,0.5547
2017-12-31,0.0866,70.651,5.5393,2.1676,0.0784,0.0241,1.7004,14761000000.0,196.47,191.27,191.27,731000000.0,139818372924.0,22849000000.0,4.6096,3369622717.0,30,Healthcare,0.148,0.2629
2018-12-31,0.3535,14.5571,9.7754,4.3133,0.6715,0.0287,0.4178,14699000000.0,195.37,184.86,184.86,661000000.0,122192460661.0,23747000000.0,5.3055,3506923602.0,31,Healthcare,0.151,0.2334
2019-12-31,0.3357,17.4472,14.1446,5.1725,0.8107,0.0256,0.4475,14703000000.0,236.13,226.15,226.15,605000000.0,136820746370.0,23362000000.0,5.7894,3502611200.0,32,Healthcare,0.0912,0.1916
2020-12-31,0.2857,19.4766,15.0365,5.6902,0.772,0.0265,0.5169,14689000000.0,252.12,241.43,241.43,586000000.0,141477975898.0,25424000000.0,6.3979,3749166470.0,33,Healthcare,0.1051,0.1531
2021-12-31,0.2268,22.1635,19.494,8.1291,0.8796,0.0307,0.681,14890000000.0,242.77,229.14,229.14,586000000.0,134276039414.0,25979000000.0,7.0346,4122274428.0,34,Healthcare,0.0995,0.119
