Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.2357,13.9608,2.0133,11.3992,0.1442,0.0232,0.3237,0.0,38.98,29.94,29.9375,1434900000.0,42957318750.0,13053000000.0,0.6946,996693019.2,18,Financial Services,0.0,0.0
1998-12-31,0.1639,22.4262,2.5215,12.4459,0.1124,0.0225,0.5042,0.0,43.55,33.44,33.4375,3464114000.0,115831311875.0,31504000000.0,0.7524,2606399373.6,19,Financial Services,0.0832,0.0
1999-12-31,0.2422,10.0184,1.7772,13.2369,0.1774,0.0405,0.4059,0.0,32.09,22.88,22.875,3452012000.0,78964774500.0,32546000000.0,0.9266,3198772399.68,20,Financial Services,0.2315,0.0
2000-12-31,0.2281,12.1492,1.9175,12.4835,0.1578,0.0371,0.4507,0.0,37.75,27.74,27.735,3292796000.0,91325700352.796,32956000000.0,1.0292,3388794174.584,21,Financial Services,0.1107,0.0
2001-12-31,0.1934,14.4795,2.0269,11.8146,0.14,0.0369,0.5347,0.0,41.1,30.83,30.83,3189914000.0,98345048620.0,35113000000.0,1.1376,3628932294.078,22,Financial Services,0.1053,0.0
2002-12-31,0.2633,11.2923,2.0756,12.1254,0.1838,0.0355,0.401,0.0,44.81,34.36,34.355,3040084000.0,104442085820.0,35124000000.0,1.2198,3708233661.52,23,Financial Services,0.0723,0.1206
2003-12-31,0.2784,11.2032,2.5241,14.349,0.2253,0.0353,0.396,0.0,52.55,40.73,40.73,2973406000.0,121106826380.0,38827000000.0,1.4378,4275070971.214,24,Financial Services,0.1787,0.1397
2004-12-31,0.2772,12.1448,1.7238,10.1441,0.1419,0.0377,0.4573,0.0,56.69,45.7,45.7,3758507000.0,171763773658.507,51017000000.0,1.7229,6475494125.23,25,Financial Services,0.1983,0.1331
2005-12-31,0.288,10.8294,1.7561,11.723,0.1622,0.0431,0.4666,0.0,56.9,44.48,44.48,4008688000.0,178306442240.0,57175000000.0,1.9171,7685007660.544,26,Financial Services,0.1127,0.1335
2006-12-31,0.3045,11.164,1.7441,9.7911,0.1562,0.0409,0.4572,65662000000.0,63.25,52.12,52.12,4526637000.0,235928315913.363,69391000000.0,2.1317,9649468305.996,27,Financial Services,0.1119,0.1348
2007-12-31,0.2407,12.4629,1.2719,10.6874,0.1021,0.0583,0.7261,77530000000.0,54.49,42.21,42.21,4423579000.0,186719265166.421,62255000000.0,2.4608,10885733417.097,28,Financial Services,0.1544,0.1512
2008-12-31,0.0555,7.5389,0.1707,9.2678,0.0226,0.3815,2.8762,81934000000.0,15.82,6.58,6.58,4592085000.0,30215919300.0,72243000000.0,2.5103,11527373212.95,29,Financial Services,0.0201,0.1195
