Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.088,10.8108,3.847,3.436,0.3558,0.0188,0.203,0.0,24.39,24.0,24.0,750000000.0,18000000000.0,18925000000.0,0.4512,338400000.0,68,Industrials,0.0,0.0
1998-12-31,0.0721,10.3867,3.0628,3.8973,0.2949,0.0255,0.2644,0.0,22.15,21.66,21.6562,725659472.0,15715062940.5,20977000000.0,0.5523,400803496.1698,69,Industrials,0.2241,0.0
1999-12-31,0.048,16.3534,2.8308,3.8737,0.1731,0.0288,0.4704,0.0,22.52,21.75,21.75,711278195.0,15470300741.25,19702000000.0,0.6264,445544661.348,70,Industrials,0.1342,0.0
2000-12-31,0.0522,14.6053,2.7463,4.0829,0.188,0.03,0.4387,0.0,22.68,22.2,22.2,692763158.0,15379342800.3632,20175000000.0,0.666,461380263.228,71,Industrials,0.0632,0.0
2001-12-31,0.0394,21.4083,3.0714,4.4637,0.1435,0.0275,0.5888,0.0,25.68,25.1,25.1,686600000.0,17233660000.0,20450000000.0,0.6903,473925650.0,72,Industrials,0.0365,0.0
2002-12-31,0.0396,18.5579,2.7064,5.0035,0.1458,0.0325,0.6028,0.0,21.97,21.53,21.525,688000000.0,14809200000.0,20152000000.0,0.6997,481410800.0,73,Industrials,0.0136,0.0943
2003-12-31,0.0483,24.5409,4.4374,4.9995,0.1808,0.0182,0.4468,0.0,39.56,39.06,39.065,690400000.0,26970475309.6,22763000000.0,0.7109,490799836.8,74,Industrials,0.016,0.0527
2004-12-31,0.0673,14.7113,4.0093,4.7709,0.2725,0.0178,0.2624,1450000000.0,44.38,43.73,43.73,684600000.0,29937558000.0,30251000000.0,0.7784,532888532.4,75,Industrials,0.095,0.0449
2005-12-31,0.0785,15.9284,5.3913,4.5822,0.3385,0.0136,0.2165,1451000000.0,68.64,67.01,67.01,678400000.0,45459585356.8,36339000000.0,0.9113,618250342.4,76,Industrials,0.1707,0.0664
2006-12-31,0.0852,11.7102,6.0386,6.4178,0.5157,0.0175,0.2053,1904000000.0,63.68,62.88,62.88,658700000.0,41419056658.7,41517000000.0,1.1004,724833480.0,77,Industrials,0.2075,0.1006
2007-12-31,0.0788,12.335,4.9171,5.319,0.3986,0.0193,0.2386,1963000000.0,70.2,68.44,68.44,638200000.0,43678409276.4,44958000000.0,1.3209,842993274.4,78,Industrials,0.2004,0.1379
2008-12-31,0.0693,5.2949,3.0941,10.0494,0.5844,0.0506,0.2679,2261000000.0,35.33,30.85,30.85,610500000.0,18833925000.0,51324000000.0,1.561,952996605.0,79,Industrials,0.1818,0.1711
2009-12-31,0.0276,35.9084,3.6771,5.8053,0.1024,0.032,1.1497,2269000000.0,60.15,52.24,52.24,615200000.0,32138049230.4,32396000000.0,1.6717,1028417536.0,80,Industrials,0.0709,0.1663
2010-12-31,0.0634,22.3785,5.5822,4.8683,0.2494,0.0179,0.4015,2614000000.0,101.37,95.68,95.68,631500000.0,60421920000.0,42588000000.0,1.7127,1081552368.0,81,Industrials,0.0245,0.137
2011-12-31,0.0819,14.451,5.5278,5.2817,0.3825,0.0163,0.2352,7080000000.0,115.15,110.41,110.41,645000000.0,71214452580.0,60138000000.0,1.7997,1160795535.0,82,Industrials,0.0508,0.1057
2012-12-31,0.0862,11.3323,3.6721,4.0939,0.324,0.0251,0.2846,6942000000.0,107.06,98.65,98.65,652600000.0,64378991305.2,65875000000.0,2.4761,1615912649.0,83,Industrials,0.3758,0.1408
2013-12-31,0.0681,15.8703,2.8895,3.0762,0.1821,0.0185,0.2932,6956000000.0,102.62,93.2,93.2,645200000.0,60132638064.4,55656000000.0,1.7242,1112453840.0,84,Industrials,-0.3037,0.0437
2014-12-31,0.067,13.3579,2.9474,4.052,0.2206,0.0328,0.4384,6694000000.0,91.86,79.97,79.97,617200000.0,49357484617.2,55184000000.0,2.623,1618925475.2,85,Industrials,0.5213,0.1337
2015-12-31,0.0447,17.5972,2.4978,4.2955,0.1419,0.0475,0.8359,6615000000.0,73.11,62.24,62.24,594300000.0,36989233188.6,47011000000.0,2.9564,1756988520.0,86,Industrials,0.1271,0.1543
2016-12-31,-0.0017,-844.0955,4.305,4.6807,-0.0051,0.0318,-26.8507,6020000000.0,109.06,96.79,96.79,584300000.0,56554397584.3,38537000000.0,3.0779,1798429824.6,87,Industrials,0.0411,0.1523
2017-12-31,0.0166,128.532,7.0755,4.6139,0.055,0.0189,2.4284,6200000000.0,177.72,163.76,163.76,591800000.0,96913165041.0,45462000000.0,3.0951,1831658875.2,88,Industrials,0.0056,0.0783
2018-12-31,0.1123,12.5178,5.4809,4.5893,0.4379,0.0254,0.3174,6217000000.0,143.4,130.11,130.11,591400000.0,76947054591.4,54722000000.0,3.3048,1954455171.6,89,Industrials,0.0678,0.1526
2019-12-31,0.1133,12.4772,5.2114,4.3751,0.4177,0.028,0.3499,6196000000.0,150.12,135.37,135.37,561600000.0,76023789192.0,53800000000.0,3.7904,2128666176.0,90,Industrials,0.1469,0.0777
2020-12-31,0.0718,33.1832,6.489,4.1058,0.1956,0.0225,0.7482,6394000000.0,200.03,182.84,182.84,544100000.0,99483241823.6,41748000000.0,4.1139,2238372990.0,91,Industrials,0.0853,0.0693
2021-12-31,0.1273,16.6998,6.5739,4.0207,0.3937,0.0215,0.3594,6324000000.0,218.17,201.16,201.16,544100000.0,109451158176.4,50971000000.0,4.3249,2353199854.0,92,Industrials,0.0513,0.0714
