Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-09-30,0.0875,27.7933,3.1612,1.1855,0.1137,0.0063,0.174,0.0,0.0,0.0,26.5122,2061000000.0,54641619468.0,22473000000.0,0.0,0.0,40,Communication Services,0.0,0.0
1998-09-30,0.0805,29.26,2.792,1.1342,0.0954,0.0076,0.2227,0.0,0.0,0.0,26.5738,2037000000.0,54130918191.0,22976000000.0,0.0,0.0,41,Communication Services,0.0,0.0
1999-09-30,0.0556,41.345,2.5625,1.0824,0.062,0.0,0.0,0.0,0.0,0.0,26.1423,2056000000.0,53748466000.0,23402000000.0,0.0,0.0,42,Communication Services,0.0,0.0
2000-09-30,0.0362,78.6435,2.9585,0.8411,0.0376,0.006,0.4717,0.0,0.0,0.0,34.4042,2103000000.0,72352003158.0,25402000000.0,0.0,0.0,43,Communication Services,0.0,0.0
2001-09-30,-0.0063,-236.4079,1.6202,0.8955,-0.0069,0.0117,-2.7722,0.0,0.0,0.0,17.9148,2085000000.0,37352443485.0,25269000000.0,0.0,0.0,44,Communication Services,0.0,0.0
2002-09-30,0.0488,27.4564,1.4212,1.0958,0.0518,0.0126,0.3463,0.0,0.0,0.0,16.6028,2044000000.0,33936112980.0,25329000000.0,0.0,0.0,45,Communication Services,0.0,0.0
2003-09-30,0.0468,36.8228,1.961,1.0831,0.0533,0.0092,0.3386,0.0,0.0,0.0,22.5711,2067000000.0,46654502973.0,27061000000.0,0.0,0.0,46,Communication Services,0.0,0.0
2004-09-30,0.0763,21.7391,1.9546,1.0361,0.0899,0.0084,0.1834,0.0,25.88,24.88,24.8795,2049000000.0,50978156970.0,30752000000.0,0.209,428224608.0,47,Communication Services,1.0,0.2
2005-09-30,0.0793,18.8136,1.8182,0.9805,0.0966,0.0103,0.1934,0.0,19.5,19.78,23.4984,2028000000.0,47654816040.0,31944000000.0,0.2037,413172552.0,48,Communication Services,-0.0254,0.1949
2006-09-30,0.0984,18.6772,1.9804,0.8433,0.106,0.0082,0.1538,22505000000.0,32.63,31.43,31.4299,2005000000.0,63016929450.0,34285000000.0,0.2577,516740630.0,49,Communication Services,0.2651,0.2479
2007-09-30,0.132,14.6612,2.2345,0.9391,0.1524,0.0093,0.1359,22085000000.0,36.12,34.29,34.29,2004000000.0,68717162004.0,35510000000.0,0.3189,639069588.0,50,Communication Services,0.2375,0.2954
2008-09-30,0.117,10.814,1.4811,0.8919,0.137,0.0139,0.15,22151000000.0,26.92,25.33,25.33,1890000000.0,47873700000.0,37843000000.0,0.3521,665444430.0,51,Communication Services,0.1041,0.3163
2009-09-30,0.0915,15.4046,1.5101,0.8209,0.098,0.0127,0.1959,21683000000.0,24.78,23.6,27.37,1856000000.0,50798721856.0,36149000000.0,0.2997,556280320.0,52,Communication Services,-0.1488,0.0865
2010-09-30,0.1041,17.3887,1.8367,0.796,0.1056,0.0095,0.1648,24100000000.0,31.57,31.38,36.13,1915000000.0,69188951915.0,38063000000.0,0.2981,570880650.0,53,Communication Services,-0.0053,0.0905
2011-09-30,0.1176,13.4673,1.7316,0.8739,0.1286,0.0117,0.1573,24145000000.0,30.78,30.71,36.21,1878000000.0,68002378122.0,40893000000.0,0.3593,674778546.0,54,Communication Services,0.2053,0.0786
2012-09-30,0.1362,20.0887,2.7133,0.7284,0.1351,0.0107,0.2158,25110000000.0,64.06,62.73,50.08,1794000000.0,89843523588.0,42278000000.0,0.6712,1204152534.0,55,Communication Services,0.8681,0.2047
2013-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27324000000.0,70.66,68.47,68.47,1792000000.0,122698241792.0,45041000000.0,0.0,0.0,56,Communication Services,-1.0,-0.0161
2014-09-30,0.1537,20.2411,3.3771,0.7999,0.1668,0.0099,0.201,27881000000.0,92.19,90.22,90.22,1740000000.0,156982801740.0,48813000000.0,0.8932,1554129720.0,57,Communication Services,1.0,0.2136
2015-09-30,0.1598,23.1653,4.3609,0.8877,0.1883,0.0158,0.3654,27826000000.0,107.67,107.84,113.74,1694000000.0,192675556612.0,52465000000.0,1.7039,2886359168.0,58,Communication Services,0.9076,0.3962
