Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-10-31,0.0727,9.4072,1.8162,0.9653,0.1931,0.0181,0.1706,0.0,15.33,13.88,13.8794,2114000000.0,29341110792.0,42895000000.0,0.2512,531095992.0,36,Technology,0.0,0.0
1998-10-31,0.0626,9.9754,1.7364,0.9902,0.1741,0.0213,0.2122,0.0,16.16,14.21,14.2058,2068000000.0,29377668848.0,47061000000.0,0.3027,625927764.0,37,Technology,0.205,0.0
1999-10-31,0.0824,12.4531,2.3763,0.9293,0.1908,0.015,0.1862,0.0,24.22,21.54,21.5429,2018000000.0,43473602470.0,42370000000.0,0.3231,652015800.0,38,Technology,0.0674,0.0
2000-10-31,0.0758,7.6879,2.0003,1.3935,0.2602,0.0224,0.1726,0.0,16.09,14.36,14.3619,1979000000.0,28422287176.0,48782000000.0,0.3217,636573056.0,39,Technology,-0.0043,0.0
2001-10-31,0.009,47.3863,1.3856,1.3353,0.0292,0.0321,1.5221,0.0,12.15,9.99,9.9864,1936000000.0,19333623936.0,45226000000.0,0.3207,620834544.0,40,Technology,-0.0031,0.0
2002-10-31,-0.016,-24.4822,0.6097,0.95,-0.0249,0.0362,-0.887,0.0,13.33,8.85,8.8465,2499000000.0,22107410997.0,56588000000.0,0.3204,800604630.0,41,Technology,-0.0009,0.0528
2003-10-31,0.0348,11.8482,0.797,0.9792,0.0673,0.0325,0.3848,0.0,14.53,9.87,9.8728,3047000000.0,30082552621.0,73061000000.0,0.3208,977401425.0,42,Technology,0.0012,0.0121
2004-10-31,0.0438,7.8541,0.7312,1.0269,0.0931,0.0354,0.278,0.0,13.27,9.08,9.0827,3024000000.0,27465939648.0,79905000000.0,0.3214,972010368.0,43,Technology,0.0019,-0.001
2005-10-31,0.0277,16.1768,1.0435,1.0798,0.0645,0.0239,0.3862,0.0,18.31,13.47,13.4741,2879000000.0,38791974206.0,86696000000.0,0.3219,926845107.0,44,Technology,0.0016,0.0001
2006-10-31,0.0676,8.0435,1.307,1.1493,0.1625,0.0179,0.1442,16853000000.0,23.82,17.92,17.9201,2782000000.0,49853643086.0,91658000000.0,0.3208,892376576.0,45,Technology,-0.0034,0.0001
2007-10-31,0.0697,8.4119,1.586,1.3023,0.1885,0.0138,0.1165,21773000000.0,27.53,23.23,23.2334,2630000000.0,61103902490.0,104286000000.0,0.3206,843109620.0,46,Technology,-0.0006,0.0001
2008-10-31,0.0704,4.7763,1.0216,1.9103,0.2139,0.02,0.0956,32335000000.0,20.11,16.02,16.0218,2483000000.0,39782121951.0,118364000000.0,0.3204,795553200.0,47,Technology,-0.0006,-0.0002
2009-10-31,0.0669,6.9457,1.3131,1.8334,0.1891,0.0144,0.1,33109000000.0,27.84,22.28,22.2797,2388000000.0,53204031060.0,114552000000.0,0.3208,766146816.0,48,Technology,0.0012,-0.0004
2010-10-31,0.0695,5.0403,1.0917,2.0698,0.2166,0.0175,0.088,38483000000.0,23.75,19.04,19.0418,2319000000.0,44157887820.0,126033000000.0,0.3332,772690800.0,49,Technology,0.0387,0.0071
2011-10-31,0.0556,3.7573,0.6881,2.3434,0.1831,0.0318,0.1193,44551000000.0,16.53,12.69,12.693,2094000000.0,26579154564.0,127245000000.0,0.4035,845016948.0,50,Technology,0.211,0.0499
2012-10-31,-0.1051,-0.9206,0.519,3.8302,-0.5638,0.0872,-0.0802,31069000000.0,11.62,5.9,5.8992,1974000000.0,11644987242.0,120357000000.0,0.5145,1015583520.0,51,Technology,0.2751,0.1051
2013-10-31,0.0455,4.6981,0.8809,2.8611,0.1875,0.046,0.2161,31124000000.0,18.71,12.42,12.4205,1934000000.0,24021299218.0,112298000000.0,0.5713,1104932880.0,52,Technology,0.1104,0.1273
2014-10-31,0.045,6.6594,1.2489,2.8461,0.1875,0.0355,0.2362,31139000000.0,25.78,17.74,17.7384,1882000000.0,33383706440.0,111454000000.0,0.6298,1185227140.0,53,Technology,0.1024,0.1475
2015-10-31,0.0441,4.9951,0.8192,2.8353,0.164,0.055,0.2745,32941000000.0,22.15,12.54,12.54,1814000000.0,22747560000.0,103355000000.0,0.6897,1251115800.0,54,Technology,0.0951,0.1588
2016-10-31,0.0517,10.6739,-6.8506,-8.4595,-0.6418,0.0322,0.3438,5622000000.0,19.03,15.4,15.4,1730000000.0,26642000000.0,48238000000.0,0.4959,857872400.0,55,Technology,-0.281,0.0604
2017-10-31,0.0485,14.334,-10.6243,-10.6576,-0.7412,0.0247,0.3539,5622000000.0,25.6,21.45,21.45,1688000000.0,36207601688.0,52056000000.0,0.5298,894327720.0,56,Technology,0.0684,0.0191
2018-10-31,0.0911,6.973,-58.1299,-55.1815,-8.3365,0.0242,0.1688,5968000000.0,26.2,23.0,23.0,1615000000.0,37145000000.0,58472000000.0,0.5566,898909000.0,57,Technology,0.0506,0.0071
2019-10-31,0.0536,9.6514,-25.4997,-29.0528,-2.6421,0.0319,0.3077,6372000000.0,23.07,20.08,20.08,1515000000.0,30421200000.0,58756000000.0,0.6406,970436280.0,58,Technology,0.1509,0.0168
