Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.0593,36.4213,5.4271,3.2592,0.149,0.0302,1.1004,0.0,0.0,0.0,29.3618,1828395000.0,53684935399.89,24856000000.0,0.0,0.0,14,Communication Services,0.0,0.0
1998-12-31,0.1398,19.8363,6.2442,2.5263,0.3148,0.0227,0.4502,0.0,41.02,40.79,40.7855,1956610000.0,79801317155.0,28777000000.0,0.9259,1811689767.13,15,Communication Services,1.0,0.0
1999-12-31,0.1649,12.3863,3.7813,2.1136,0.3053,0.0325,0.4029,0.0,29.79,29.65,29.645,3409000000.0,101059859544.0,49489000000.0,0.9636,3284997625.0,16,Communication Services,0.0407,0.0
2000-12-31,0.1548,15.4095,4.0301,2.2384,0.2615,0.0278,0.429,3947000000.0,36.38,36.19,36.1934,3392000000.0,122767849984.0,51476000000.0,1.0061,3412630144.0,17,Communication Services,0.0441,0.0
2001-12-31,0.1578,12.7431,2.8403,1.9646,0.2229,0.0374,0.4772,3577000000.0,27.63,27.42,27.4169,3366000000.0,92285345988.0,45908000000.0,1.0255,3451859928.0,18,Communication Services,0.0193,0.0
2002-12-31,0.131,10.6112,1.8068,1.8632,0.1703,0.0593,0.6292,1643000000.0,19.08,18.01,18.0136,3330000000.0,59985274680.0,43138000000.0,1.068,3556416690.0,19,Communication Services,0.0414,0.2291
2003-12-31,0.2082,7.5137,1.6708,1.6189,0.2224,0.071,0.5337,1611000000.0,20.71,19.26,19.2598,3318000000.0,63904079442.0,40843000000.0,1.3675,4537232280.0,20,Communication Services,0.2804,0.0852
2004-12-31,0.1443,10.0306,1.4579,1.6872,0.1453,0.0701,0.7034,1625000000.0,18.07,17.84,17.8399,3310000000.0,59049996180.0,40787000000.0,1.2506,4139433040.0,21,Communication Services,-0.0855,0.0599
2005-12-31,0.1091,13.8458,1.2117,1.6629,0.0875,0.0642,0.8893,14055000000.0,20.04,19.68,19.6752,3368000000.0,66266161168.0,43862000000.0,1.2635,4255319808.0,22,Communication Services,0.0103,0.0532
2006-12-31,0.1167,14.7837,0.9412,1.3423,0.0637,0.0474,0.7005,67657000000.0,28.64,28.01,28.0136,3882000000.0,108748779672.0,63055000000.0,1.3277,5154030468.0,23,Communication Services,0.0508,0.0595
2007-12-31,0.1005,14.4626,1.4982,1.3893,0.1036,0.0506,0.7316,70713000000.0,28.53,28.21,28.21,6127000000.0,172842486190.0,118928000000.0,1.4274,8745839102.0,24,Communication Services,0.0751,0.0662
2008-12-31,0.1037,8.5656,1.1439,1.753,0.1335,0.0863,0.7389,71829000000.0,18.9,18.6,18.5952,5927000000.0,110213542955.0,124028000000.0,1.6052,9513901860.0,25,Communication Services,0.1246,0.0351
2009-12-31,0.1019,9.0155,1.109,1.6332,0.123,0.0856,0.7714,73259000000.0,19.8,19.15,19.1541,5900000000.0,113009066100.0,123018000000.0,1.6392,9671516000.0,26,Communication Services,0.0212,0.0564
2010-12-31,0.1598,6.1806,1.0996,1.4021,0.1779,0.0808,0.4992,73601000000.0,21.01,20.76,20.7628,5913000000.0,122770672920.0,124280000000.0,1.6774,9918513504.0,27,Communication Services,0.0233,0.059
2011-12-31,0.0311,33.3076,1.2448,1.5592,0.0374,0.0774,2.5791,70842000000.0,22.7,22.16,22.1601,5928000000.0,131365203216.0,126723000000.0,1.7152,10167610752.0,28,Communication Services,0.0225,0.0533
2012-12-31,0.057,20.7973,1.6356,1.9447,0.0786,0.0678,1.4098,69773000000.0,26.88,26.04,26.0423,5801000000.0,151071353295.0,127434000000.0,1.7655,10241735112.0,29,Communication Services,0.0293,0.0442
2013-12-31,0.1417,7.4094,1.4861,2.0476,0.2006,0.0717,0.5313,69273000000.0,25.81,25.19,25.1888,5368000000.0,135213596496.0,128752000000.0,1.8061,9695268264.0,30,Communication Services,0.023,0.0239
2014-12-31,0.047,20.7933,1.4984,2.384,0.0721,0.0738,1.5347,69692000000.0,26.52,24.86,24.864,5205000000.0,129417369840.0,132447000000.0,1.8347,9549446940.0,31,Communication Services,0.0158,0.0228
2015-12-31,0.0909,11.4861,1.2495,2.2746,0.1088,0.0665,0.7643,104568000000.0,28.15,27.24,27.2356,5628000000.0,153282232572.0,146801000000.0,1.8115,10194896880.0,32,Communication Services,-0.0126,0.0156
2016-12-31,0.0792,15.0141,1.5822,2.2716,0.1054,0.0606,0.9091,105207000000.0,32.52,31.59,31.5861,6168000000.0,194823083304.0,163786000000.0,1.9144,11807735472.0,33,Communication Services,0.0568,0.0225
2017-12-31,0.1834,5.9187,1.2374,2.1446,0.2091,0.0691,0.4088,105449000000.0,36.47,28.28,28.2779,6164000000.0,174305259144.0,160546000000.0,1.9541,12045368272.0,34,Communication Services,0.0207,0.0207
2018-12-31,0.1134,7.7623,0.8168,1.836,0.1052,0.0892,0.6923,146370000000.0,22.95,22.18,22.1828,6778000000.0,150354876062.0,170756000000.0,1.9785,13409974768.0,35,Communication Services,0.0125,0.0186
2019-12-31,0.0767,14.8825,1.1232,1.8985,0.0755,0.072,1.0708,146241000000.0,29.93,28.27,28.2704,7319000000.0,206911006367.0,181193000000.0,2.0354,14897385360.0,36,Communication Services,0.0288,0.0212
2020-12-31,-0.0301,-29.8999,0.9573,2.1433,-0.032,0.0966,-2.8895,135259000000.0,22.98,21.62,21.6239,7157000000.0,154762016119.0,171760000000.0,2.0885,14947337244.0,37,Communication Services,0.0261,0.029
2021-12-31,0.1189,6.7967,0.8206,2.211,0.1207,0.1104,0.7504,133223000000.0,22.0,19.04,19.0408,7157000000.0,136274898245.0,168864000000.0,2.102,15044128512.0,38,Communication Services,0.0065,0.0189
