Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.0813,26.3101,4.6464,2.8821,0.1766,0.0362,0.9534,0.0,41.83,41.62,41.6218,1551800000.0,64588678204.0,30193900000.0,1.5066,2338010159.2,13,Communication Services,0.0,0.0
1998-12-31,0.0939,28.2598,6.1819,3.068,0.2188,0.0284,0.8024,0.0,54.11,53.96,53.9594,1553000000.0,83798895398.0,31565900000.0,1.5325,2379916592.0,14,Communication Services,0.0172,0.0
1999-12-31,0.1267,19.1532,4.8662,2.7858,0.2541,0.0298,0.5709,0.0,52.53,51.82,51.8235,1553000000.0,80481856675.0,33174000000.0,1.5442,2398198508.0,15,Communication Services,0.0076,0.0
2000-12-31,0.1823,11.1456,2.3309,1.9204,0.2091,0.0336,0.3748,0.0,48.74,48.46,48.4645,2713000000.0,131484199352.0,64707000000.0,1.6283,4417458528.0,16,Communication Services,0.0545,0.0
2001-12-31,0.0058,287.5729,2.0455,2.1231,0.0071,0.0373,10.7147,0.0,41.64,41.28,41.2789,2710000000.0,111865859650.0,67190000000.0,1.5397,4172706240.0,17,Communication Services,-0.0544,0.0
2002-12-31,0.0603,22.3644,2.7969,3.3944,0.1251,0.046,1.0297,0.0,33.95,33.43,33.4278,2729000000.0,91224537154.0,67625000000.0,1.5378,4196601620.0,18,Communication Services,-0.0012,0.0047
2003-12-31,0.0454,29.6908,2.7299,3.2318,0.0919,0.0464,1.3776,1389000000.0,33.4,33.15,33.149,2756000000.0,91358743216.0,67752000000.0,1.5382,4239168960.0,19,Communication Services,0.0003,0.0014
2004-12-31,0.1099,11.3502,2.3664,2.7515,0.2085,0.048,0.5442,837000000.0,32.91,32.09,32.0878,2770000000.0,88883308490.0,71283000000.0,1.5403,4266686400.0,20,Communication Services,0.0014,0.0001
2005-12-31,0.0985,10.7276,1.9998,2.5629,0.1864,0.0558,0.5985,836000000.0,28.97,28.69,28.6884,2766000000.0,79352103336.0,75112000000.0,1.6009,4428094932.0,21,Communication Services,0.0393,-0.0029
2006-12-31,0.0703,16.9242,2.1609,2.3062,0.1277,0.045,0.7615,5655000000.0,37.12,36.02,36.0162,2912000000.0,104879255936.0,88144000000.0,1.6209,4720060800.0,22,Communication Services,0.0125,0.0105
2007-12-31,0.0591,18.7385,2.0453,2.0579,0.1092,0.0461,0.8645,5245000000.0,36.1,35.7,35.6988,2898000000.0,103455186156.0,93469000000.0,1.6458,4769441460.0,23,Communication Services,0.0154,0.0138
2008-12-31,0.066,12.4166,1.9137,2.9599,0.1541,0.0626,0.7769,6035000000.0,31.45,28.01,28.0147,2849000000.0,79814005656.0,97354000000.0,1.7534,4995510674.0,24,Communication Services,0.0654,0.0268
2009-12-31,0.0339,21.4711,1.8841,3.4342,0.0878,0.0672,1.4437,22472000000.0,28.3,27.59,27.5927,2841000000.0,78390840813.0,107808000000.0,1.854,5267350368.0,25,Communication Services,0.0574,0.038
2010-12-31,0.0239,39.5578,2.6144,3.4508,0.0661,0.0537,2.1232,21988000000.0,37.99,35.63,35.63,2830000000.0,100832902830.0,106565000000.0,1.9133,5414726730.0,26,Communication Services,0.032,0.0365
2011-12-31,0.0217,44.3216,2.9622,4.0187,0.0668,0.0521,2.3107,23357000000.0,42.33,37.61,37.61,2833000000.0,106549132833.0,110875000000.0,1.9595,5551209673.0,27,Communication Services,0.0241,0.0389
2012-12-31,0.0076,142.1935,3.7524,4.213,0.0264,0.042,5.9771,24139000000.0,44.69,43.61,43.61,2853000000.0,124419332853.0,115846000000.0,1.8316,5225611860.0,28,Communication Services,-0.0653,0.0227
2013-12-31,0.0954,11.8733,3.515,4.6009,0.296,0.0435,0.5163,24634000000.0,66.31,47.63,47.63,2866000000.0,136507582866.0,120550000000.0,2.0719,5938079730.0,29,Communication Services,0.1312,0.0359
2014-12-31,0.0757,18.8729,14.7708,17.8104,0.7826,0.043,0.8107,24639000000.0,48.38,45.71,45.71,3974000000.0,181651536026.0,127079000000.0,1.9655,7811016220.0,30,Communication Services,-0.0514,0.0141
2015-12-31,0.1358,11.4172,12.4256,13.8056,1.0883,0.0418,0.4775,25331000000.0,51.06,49.97,49.97,4085000000.0,204127454085.0,131620000000.0,2.0887,8532527410.0,31,Communication Services,0.0627,0.0203
2016-12-31,0.1042,15.3447,8.9429,9.7739,0.5828,0.046,0.7056,27205000000.0,50.08,49.37,49.37,4080000000.0,201429595920.0,125980000000.0,2.271,9265761600.0,32,Communication Services,0.0873,0.0329
2017-12-31,0.2388,7.313,5.1078,4.9298,0.6985,0.043,0.3147,29172000000.0,54.41,53.9,53.9,4084000000.0,220127608168.0,126034000000.0,2.3177,9465486800.0,33,Communication Services,0.0206,0.0501
2018-12-31,0.1187,14.3555,4.1944,3.9537,0.2922,0.0438,0.6293,24614000000.0,54.66,54.0,54.0,4128000000.0,222912000000.0,130863000000.0,2.3652,9763545600.0,34,Communication Services,0.0205,0.0279
2019-12-31,0.1461,12.7502,4.0008,3.7282,0.3138,0.0408,0.5199,24389000000.0,59.99,59.36,59.36,4138000000.0,245631684138.0,131868000000.0,2.4219,10021772544.0,35,Communication Services,0.024,0.043
