Date,avgROE,avgProfitMargin,avgRevenue,avgP/E,avgP/B,avgD/E
1997,0.11,0.04,10009000000.0,2.72,0.59,0.94
1998,0.08,0.04,9220500000.0,3.56,0.58,0.99
1999,0.07,0.04,9464500000.0,4.5,0.65,0.87
2000,0.07,0.03,11504000000.0,3.53,0.53,0.87
2001,-0.02,-0.01,13902500000.0,-15.8,0.59,1.22
2002,-0.02,-0.01,13804500000.0,-17.89,0.79,2.07
2003,0.09,0.03,16316000000.0,5.29,1.0,1.76
2004,0.11,0.04,20080500000.0,3.92,0.89,1.35
2005,0.15,0.05,23153500000.0,2.15,0.63,0.99
2006,0.11,0.04,24562000000.0,2.53,0.55,0.82
2007,0.07,0.03,26756500000.0,2.96,0.44,0.75
2008,0.02,0.01,28757000000.0,4.42,0.19,1.18
2009,0.02,0.01,22437500000.0,10.35,0.33,1.09
2010,0.05,0.02,26837000000.0,4.05,0.43,1.07
2011,0.06,0.02,29992500000.0,3.3,0.41,1.03
2012,0.03,0.01,28393000000.0,8.12,0.46,1.14
2013,0.09,0.04,28540000000.0,2.66,0.47,0.77
2014,0.08,0.03,29083500000.0,3.33,0.56,1.01
2015,0.15,0.08,24389000000.0,1.47,0.44,0.82
2016,0.17,0.09,48158000000.0,3.66,1.62,1.42
2017,0.02,0.02,53107000000.0,19.28,1.3,0.86
2018,0.09,0.06,73127500000.0,8.42,1.36,0.79
2019,-0.04,-0.0,32231500000.0,26.26,1.81,2.05
2020,0.01,-0.06,29469500000.0,5.79,2.3,2.36
2021,0.3,0.25,35810500000.0,6.6,1.98,1.57
