Date,avgROE,avgProfitMargin,avgRevenue,avgP/E,avgP/B,avgD/E
1997,0.29,0.09,43378400000.0,21.01,8.17,1.33
1998,0.25,0.08,51443600000.0,25.3,8.22,1.39
1999,0.26,0.08,56463800000.0,27.86,7.41,1.46
2000,0.26,0.07,63405200000.0,27.77,7.38,1.8
2001,0.26,0.1,71890000000.0,27.36,6.44,1.77
2002,0.29,0.12,74303800000.0,24.44,6.1,1.78
2003,0.26,0.12,80532000000.0,20.91,5.5,1.55
2004,0.26,0.12,85636200000.0,21.14,5.25,1.57
2005,0.26,0.12,94173400000.0,19.05,4.92,1.52
2006,0.21,0.13,102528800000.0,18.56,3.91,1.2
2007,0.25,0.14,105855000000.0,18.74,4.55,1.42
2008,0.51,0.15,110480800000.0,14.25,4.98,2.81
2009,0.32,0.14,114567200000.0,14.39,4.48,2.83
2010,0.33,0.17,117674000000.0,13.23,4.3,2.33
2011,0.34,0.13,124386800000.0,16.08,5.6,2.97
2012,0.42,0.14,126232400000.0,16.27,6.79,3.17
2013,0.37,0.14,130629000000.0,16.87,6.11,2.61
2014,0.47,0.14,131508600000.0,21.47,9.86,3.31
2015,0.54,0.16,130942800000.0,21.08,11.65,3.31
2016,0.37,0.23,126910400000.0,23.17,5.63,1.89
2017,0.26,0.19,126346200000.0,46.0,6.06,1.99
2018,0.26,0.17,128919200000.0,22.29,5.58,2.16
2019,0.12,0.08,133003800000.0,21.37,8.32,3.01
2020,0.52,0.16,135070000000.0,22.47,10.35,4.84
2021,-0.1,0.15,144751000000.0,27.66,-6.06,-3.52
