Date,avgROE,avgProfitMargin,avgRevenue,avgP/E,avgP/B,avgD/E
1997,0.18,0.07,81114500000.0,16.22,3.0,1.06
1998,0.11,0.05,65627000000.0,31.62,3.31,1.09
1999,0.11,0.04,123298000000.0,25.56,2.92,1.31
2000,0.23,0.07,175939000000.0,11.49,2.71,1.14
2001,0.15,0.05,159866500000.0,22.05,3.03,1.07
2002,0.1,0.03,151777500000.0,39.83,2.58,1.22
2003,0.22,0.07,184249500000.0,12.49,2.74,1.07
2004,0.27,0.09,226667500000.0,10.82,2.89,0.97
2005,0.28,0.08,284440000000.0,10.1,2.82,0.92
2006,0.3,0.09,293876500000.0,10.23,3.09,0.92
2007,0.29,0.09,312728000000.0,10.51,3.07,0.94
2008,0.34,0.09,375182000000.0,7.36,2.57,0.92
2009,0.14,0.06,235881500000.0,14.93,2.19,0.93
2010,0.19,0.09,285917500000.0,11.24,2.2,0.89
2011,0.24,0.1,358741500000.0,8.89,2.19,0.91
2012,0.23,0.11,341856500000.0,9.01,2.1,0.84
2013,0.17,0.09,320496000000.0,11.59,1.94,0.82
2014,0.15,0.09,297299500000.0,10.77,1.7,0.84
2015,0.06,0.05,194706500000.0,27.72,1.48,0.84
2016,0.02,0.02,164411500000.0,-188.11,1.78,0.86
2017,0.08,0.08,185918000000.0,22.19,1.78,0.76
2018,0.1,0.08,219117000000.0,14.58,1.49,0.7
2019,0.05,0.04,197724000000.0,45.42,1.44,0.75
2020,-0.09,-0.09,136522500000.0,-18.64,1.21,0.94
2021,0.12,0.09,216149000000.0,14.8,1.83,0.84
