Date,avgROE,avgProfitMargin,avgGoodwill,avgRevenue,avgP/E,avgP/B
1997,0.19,0.07,0.0,81114500000.0,16.22,3.0
1998,0.11,0.05,0.0,65627000000.0,31.62,3.31
1999,0.11,0.04,0.0,123298000000.0,25.56,2.92
2000,0.23,0.07,0.0,175939000000.0,11.49,2.71
2001,0.15,0.05,0.0,159866500000.0,22.05,3.03
2002,0.09,0.03,0.0,151777500000.0,39.83,2.58
2003,0.22,0.07,0.0,184249500000.0,12.49,2.74
2004,0.27,0.09,0.0,226667500000.0,10.82,2.89
2005,0.28,0.08,2318000000.0,284440000000.0,10.09,2.82
2006,0.3,0.09,2311500000.0,293876500000.0,10.23,3.09
2007,0.29,0.09,2318500000.0,312728000000.0,10.51,3.07
2008,0.34,0.09,2309500000.0,375182000000.0,7.36,2.57
2009,0.14,0.06,2309000000.0,235881500000.0,14.93,2.19
2010,0.19,0.09,2308500000.0,285917500000.0,11.24,2.2
2011,0.24,0.1,2321000000.0,358741500000.0,8.89,2.19
2012,0.23,0.11,2320000000.0,341856500000.0,9.01,2.1
2013,0.17,0.09,2319500000.0,320496000000.0,11.59,1.94
2014,0.16,0.09,2296500000.0,297299500000.0,10.77,1.7
2015,0.06,0.05,2294000000.0,194706500000.0,27.72,1.48
2016,0.02,0.02,2290500000.0,164411500000.0,-188.11,1.78
2017,0.08,0.08,2265500000.0,185918000000.0,22.19,1.78
2018,0.1,0.08,2259000000.0,219117000000.0,14.58,1.49
2019,0.05,0.04,2231500000.0,197724000000.0,45.43,1.44
2020,-0.09,-0.09,2201000000.0,136522500000.0,-18.64,1.21
2021,0.12,0.09,2192500000.0,216149000000.0,14.99,1.85
