Date,avgROE,avgProfitMargin,avgRevenue,avgP/E,avgP/B,avgD/E
1997,0.22,0.14,14378766666.67,20.25,5.34,0.63
1998,0.22,0.15,16567250000.0,15.24,7.64,0.84
1999,0.26,0.15,19499000000.0,24.94,8.21,0.93
2000,0.24,0.14,24142250000.0,32.21,8.25,0.89
2001,0.26,0.15,27511900000.0,23.65,6.67,0.94
2002,0.23,0.07,29947566666.67,4.08,4.47,1.0
2003,0.23,0.16,29827216666.67,28.92,4.58,1.05
2004,0.22,0.16,34615133333.33,20.19,3.86,0.92
2005,0.2,0.16,37220250000.0,19.77,3.71,0.85
2006,0.22,0.18,42779833333.33,17.79,3.69,0.93
2007,0.19,0.13,46279116666.67,17.48,3.27,1.06
2008,0.23,0.18,48390933333.33,11.08,2.33,1.09
2009,0.18,0.21,50741550000.0,12.08,2.05,1.01
2010,0.14,0.12,58567000000.0,23.66,1.95,1.0
2011,0.16,0.13,61579333333.33,14.02,2.24,1.16
2012,0.16,0.15,62052166666.67,14.45,2.36,1.23
2013,0.18,0.18,63261000000.0,17.27,2.84,1.25
2014,0.18,0.17,65387166666.67,19.45,3.24,1.24
2015,0.16,0.15,73321000000.0,20.58,3.19,1.47
2016,0.17,0.15,81479166666.67,22.46,3.55,1.58
2017,0.14,0.11,85052833333.33,78.73,4.4,1.66
2018,0.29,0.16,92946166666.67,19.96,5.5,2.16
2019,0.35,0.19,96857666666.67,17.78,6.33,2.42
2020,0.28,0.15,98847666666.67,30.61,6.37,2.78
2021,0.36,0.18,111254666666.67,19.19,7.21,2.84
